LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1709251148.002162,1076558.000,50030,3,GZ,1,100,1.160
1709251148.042161,1076598.000,50045,2,GZ,1,100,-0.488
1709251148.082161,1076638.000,50045,2,GZ,1,100,-0.092
1709251148.122161,1076678.000,50062,3,GZ,1,100,1.221
1709251148.162160,1076718.000,50062,3,GZ,1,100,0.732
1709251148.202160,1076758.000,50062,3,GZ,1,100,-0.153
1709251148.242160,1076798.000,50079,2,GZ,1,100,0.275
1709251148.282160,1076838.000,50079,2,GZ,1,100,0.793
1709251148.322159,1076878.000,50095,3,GZ,1,100,0.580
1709251148.362159,1076918.000,50095,3,GZ,1,100,0.488
1709251148.402159,1076958.000,50095,3,GZ,1,100,0.488
1709251148.442158,1076998.000,50110,2,GZ,1,100,0.366
1709251148.482158,1077038.000,50110,2,GZ,1,100,0.488
1709251148.522158,1077078.000,50127,3,GZ,1,100,0.519
1709251148.562158,1077118.000,50127,3,GZ,1,100,0.549
1709251148.602157,1077158.000,50127,3,GZ,1,100,0.183
1709251148.642157,1077198.000,50144,2,GZ,1,100,-0.092
1709251148.682157,1077238.000,50144,2,GZ,1,100,0.519
1709251148.722157,1077278.000,50160,3,GZ,1,100,0.916
1709251148.762156,1077318.000,50160,3,GZ,1,100,0.336
1709251148.802156,1077358.000,50160,3,GZ,1,100,0.397
1709251148.842156,1077398.000,50179,2,GZ,1,100,0.397
1709251148.882155,1077438.000,50179,2,GZ,1,100,0.671
1709251148.922155,1077478.000,50194,3,GZ,1,100,0.763
1709251148.962155,1077518.000,50194,3,GZ,1,100,0.854
1709251149.002154,1077558.000,50194,3,GZ,1,100,0.092
1709251149.042154,1077598.000,50211,3,GZ,1,100,0.183
1709251149.082154,1077638.000,50211,3,GZ,1,100,0.885
1709251149.122154,1077678.000,50211,3,GZ,1,100,0.244
1709251149.162153,1077718.000,50228,2,GZ,1,100,-0.122
1709251149.202153,1077758.000,50228,2,GZ,1,100,1.068
1709251149.241953,1077797.800,50252,5,GZ,1,100,0.824
1709251149.281753,1077837.600,50252,5,GZ,1,100,0.214
1709251149.321552,1077877.400,50252,5,GZ,1,100,0.397
1709251149.361352,1077917.200,50252,5,GZ,1,100,0.549
1709251149.401152,1077957.000,50252,5,GZ,1,100,-0.122
1709251149.441485,1077997.333,50270,3,GZ,1,100,-0.946
1709251149.481818,1078037.667,50270,3,GZ,1,100,-0.641
1709251149.522151,1078078.000,50270,3,GZ,1,100,1.465
1709251149.561817,1078117.667,50290,3,GZ,1,100,0.977
1709251149.601484,1078157.333,50290,3,GZ,1,100,0.183
1709251149.641150,1078197.000,50290,3,GZ,1,100,-0.122
1709251149.675150,1078231.000,50307,2,GZ,1,100,0.549
1709251149.709150,1078265.000,50307,2,GZ,1,100,0.305
1709251149.749149,1078305.000,50321,3,GZ,1,100,0.977
1709251149.789149,1078345.000,50321,3,GZ,1,100,1.617
1709251149.829149,1078385.000,50321,3,GZ,1,100,1.007
1709251149.869148,1078425.000,50339,3,GZ,1,100,0.000
1709251149.909148,1078465.000,50339,3,GZ,1,100,-0.061
1709251149.949148,1078505.000,50339,3,GZ,1,100,0.549
1709251149.989148,1078545.000,50355,2,GZ,1,100,0.641
1709251150.029147,1078585.000,50355,2,GZ,1,100,0.122
1709251150.069147,1078625.000,50372,3,GZ,1,100,-0.244
1709251150.109147,1078665.000,50372,3,GZ,1,100,0.488
1709251150.149147,1078705.000,50372,3,GZ,1,100,1.129
1709251150.189146,1078745.000,50388,2,GZ,1,100,0.397
1709251150.229146,1078785.000,50388,2,GZ,1,100,0.000
1709251150.269146,1078825.000,50404,3,GZ,1,100,0.061
1709251150.309145,1078865.000,50404,3,GZ,1,100,0.732
1709251150.349145,1078905.000,50404,3,GZ,1,100,0.702
1709251150.389145,1078945.000,50420,2,GZ,1,100,0.000
1709251150.429145,1078985.000,50420,2,GZ,1,100,0.153
1709251150.469144,1079025.000,50438,3,GZ,1,100,0.916
1709251150.509144,1079065.000,50438,3,GZ,1,100,0.488
1709251150.549144,1079105.000,50438,3,GZ,1,100,0.275
1709251150.589144,1079145.000,50454,2,GZ,1,100,0.549
1709251150.629143,1079185.000,50454,2,GZ,1,100,0.732
1709251150.669143,1079225.000,50469,3,GZ,1,100,0.580
1709251150.709143,1079265.000,50469,3,GZ,1,100,0.671
1709251150.749142,1079305.000,50469,3,GZ,1,100,0.214
1709251150.789142,1079345.000,50486,2,GZ,1,100,-0.122
1709251150.829142,1079385.000,50486,2,GZ,1,100,0.580
1709251150.869142,1079425.000,50503,3,GZ,1,100,0.977
1709251150.909141,1079465.000,50503,3,GZ,1,100,0.214
1709251150.949141,1079505.000,50503,3,GZ,1,100,-0.305
1709251150.989141,1079545.000,50519,2,GZ,1,100,0.549
1709251151.029140,1079585.000,50519,2,GZ,1,100,1.526
1709251151.069140,1079625.000,50534,3,GZ,1,100,0.427
1709251151.109140,1079665.000,50534,3,GZ,1,100,-1.007
1709251151.149140,1079705.000,50534,3,GZ,1,100,0.153
1709251151.189139,1079745.000,50553,3,GZ,1,100,1.343
1709251151.229139,1079785.000,50553,3,GZ,1,100,0.916
1709251151.269139,1079825.000,50553,3,GZ,1,100,0.214
1709251151.309139,1079865.000,50570,2,GZ,1,100,0.061
1709251151.349138,1079905.000,50570,2,GZ,1,100,0.183
1709251151.389138,1079945.000,50586,3,GZ,1,100,0.366
1709251151.429138,1079985.000,50586,3,GZ,1,100,0.763
1709251151.469137,1080025.000,50586,3,GZ,1,100,0.336
1709251151.509137,1080065.000,50604,2,GZ,1,100,0.488
1709251151.549137,1080105.000,50604,2,GZ,1,100,0.641
1709251151.589137,1080145.000,50620,3,GZ,1,100,0.244
1709251151.629136,1080185.000,50620,3,GZ,1,100,0.183
1709251151.669136,1080225.000,50620,3,GZ,1,100,0.610
1709251151.704469,1080260.333,50637,3,GZ,1,100,0.397
1709251151.739802,1080295.667,50637,3,GZ,1,100,0.366
