LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709251152.229132,1080785.000,50709,3,PG,1,100,9284
1709251152.269132,1080825.000,50709,3,PG,1,100,9277
1709251152.309132,1080865.000,50726,2,PG,1,100,9268
1709251152.349131,1080905.000,50726,2,PG,1,100,9260
1709251152.389131,1080945.000,50741,3,PG,1,100,9274
1709251152.429131,1080985.000,50741,3,PG,1,100,9261
1709251152.469131,1081025.000,50741,3,PG,1,100,9266
1709251152.509130,1081065.000,50758,3,PG,1,100,9271
1709251152.549130,1081105.000,50758,3,PG,1,100,9277
1709251152.589130,1081145.000,50758,3,PG,1,100,9261
1709251152.635629,1081191.500,50774,2,PG,1,100,9276
1709251152.682129,1081238.000,50774,2,PG,1,100,9277
1709251152.722129,1081278.000,50793,2,PG,1,100,9267
1709251152.762128,1081318.000,50793,2,PG,1,100,9276
1709251152.802128,1081358.000,50810,3,PG,1,100,9274
1709251152.842128,1081398.000,50810,3,PG,1,100,9259
1709251152.882128,1081438.000,50810,3,PG,1,100,9255
1709251152.922127,1081478.000,50825,3,PG,1,100,9253
1709251152.962127,1081518.000,50825,3,PG,1,100,9263
1709251153.002127,1081558.000,50825,3,PG,1,100,9257
1709251153.042126,1081598.000,50841,2,PG,1,100,9253
1709251153.082126,1081638.000,50841,2,PG,1,100,9265
1709251153.122126,1081678.000,50859,3,PG,1,100,9258
1709251153.162126,1081718.000,50859,3,PG,1,100,9252
1709251153.202125,1081758.000,50859,3,PG,1,100,9249
1709251153.242125,1081798.000,50875,2,PG,1,100,9253
1709251153.282125,1081838.000,50875,2,PG,1,100,9269
1709251153.322124,1081878.000,50892,3,PG,1,100,9270
1709251153.362124,1081918.000,50892,3,PG,1,100,9256
1709251153.402124,1081958.000,50892,3,PG,1,100,9249
1709251153.442124,1081998.000,50908,2,PG,1,100,9231
1709251153.482123,1082038.000,50908,2,PG,1,100,9231
1709251153.522123,1082078.000,50926,3,PG,1,100,9243
1709251153.562123,1082118.000,50926,3,PG,1,100,9238
1709251153.602123,1082158.000,50926,3,PG,1,100,9232
1709251153.642122,1082198.000,50942,2,PG,1,100,9248
1709251153.682122,1082238.000,50942,2,PG,1,100,9237
1709251153.722122,1082278.000,50957,3,PG,1,100,9231
1709251153.762121,1082318.000,50957,3,PG,1,100,9228
1709251153.802121,1082358.000,50957,3,PG,1,100,9231
1709251153.842121,1082398.000,50974,2,PG,1,100,9237
1709251153.882121,1082438.000,50974,2,PG,1,100,9224
1709251153.922120,1082478.000,50993,3,PG,1,100,9233
1709251153.962120,1082518.000,50993,3,PG,1,100,9222
1709251154.002120,1082558.000,50993,3,PG,1,100,9223
1709251154.042120,1082598.000,51009,2,PG,1,100,9213
1709251154.082119,1082638.000,51009,2,PG,1,100,9229
1709251154.122119,1082678.000,51026,3,PG,1,100,9220
1709251154.162119,1082718.000,51026,3,PG,1,100,9226
1709251154.202118,1082758.000,51026,3,PG,1,100,9210
1709251154.242118,1082798.000,51041,2,PG,1,100,9217
1709251154.282118,1082838.000,51041,2,PG,1,100,9215
1709251154.322118,1082878.000,51058,3,PG,1,100,9217
1709251154.362117,1082918.000,51058,3,PG,1,100,9228
1709251154.402117,1082958.000,51058,3,PG,1,100,9227
1709251154.442117,1082998.000,51079,4,PG,1,100,9197
1709251154.482116,1083038.000,51079,4,PG,1,100,9207
1709251154.522116,1083078.000,51079,4,PG,1,100,9221
1709251154.562116,1083118.000,51079,4,PG,1,100,9202
1709251154.602116,1083158.000,51097,2,PG,1,100,9206
