LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1709251210.825726,1139382.000,60164,1,TL,1,100,2024-02-29_19-00-06-256150
1709251215.960690,1144517.000,60986,1,TL,1,100,2024-02-29_19-00-11-194537
1709251215.962690,1144519.000,60988,1,TL,1,100,2024-02-29_19-00-11-194630
1709251215.981690,1144538.000,60991,1,TL,1,100,2024-02-29_19-00-15-974599
1709251221.093655,1149650.000,61815,1,TL,1,100,2024-02-29_19-00-16-376227
1709251226.216619,1154773.000,62637,1,TL,1,100,2024-02-29_19-00-21-275341
1709251226.222619,1154779.000,62639,1,TL,1,100,2024-02-29_19-00-21-275542
1709251226.257619,1154814.000,62642,1,TL,1,100,2024-02-29_19-00-26-246023
1709251231.356584,1159913.000,63466,1,TL,1,100,2024-02-29_19-00-26-451119
1709251231.434583,1159991.000,63469,1,TL,1,100,2024-02-29_19-00-31-429404
1709251236.464548,1165021.000,64277,1,TL,1,100,2024-02-29_19-00-32-392956
1709251236.507548,1165064.000,64280,1,TL,1,100,2024-02-29_19-00-36-501675
1709251241.598513,1170155.000,65101,1,TL,1,100,2024-02-29_19-00-36-617387
1709251246.726477,1175283.000,395,1,TL,1,100,2024-02-29_19-00-42-322762
1709251246.728477,1175285.000,397,1,TL,1,100,2024-02-29_19-00-42-322837
1709251251.861442,1180418.000,1218,1,TL,1,100,2024-02-29_19-00-46-984389
1709251251.864441,1180421.000,1220,1,TL,1,100,2024-02-29_19-00-46-984464
1709251256.969406,1185526.000,2029,1,TL,1,100,2024-02-29_19-00-52-606174
1709251256.971406,1185528.000,2031,1,TL,1,100,2024-02-29_19-00-52-606377
1709251262.091371,1190648.000,2858,1,TL,1,100,2024-02-29_19-00-57-404310
1709251262.093371,1190650.000,2860,1,TL,1,100,2024-02-29_19-00-57-404390
1709251262.191370,1190748.000,2863,1,TL,1,100,2024-02-29_19-01-02-185660
1709251267.233335,1195790.000,3688,1,TL,1,100,2024-02-29_19-01-02-228369
1709251272.343300,1200900.000,4501,1,TL,1,100,2024-02-29_19-01-07-341061
1709251272.345299,1200902.000,4503,1,TL,1,100,2024-02-29_19-01-07-372954
1709251272.444299,1201001.000,4506,1,TL,1,100,2024-02-29_19-01-12-439319
1709251277.452264,1206009.000,5312,1,TL,1,100,2024-02-29_19-01-12-473531
1709251277.470264,1206027.000,5315,1,TL,1,100,2024-02-29_19-01-17-462344
