LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1709252678.486130,2607045.000,44631,3,GX,1,100,-0.519
1709252678.526131,2607085.000,44631,3,GX,1,100,-0.610
1709252678.566132,2607125.000,44648,2,GX,1,100,-0.153
1709252678.606133,2607165.000,44648,2,GX,1,100,0.336
1709252678.646134,2607205.000,44663,3,GX,1,100,-0.061
1709252678.686135,2607245.000,44663,3,GX,1,100,-0.397
1709252678.726136,2607285.000,44663,3,GX,1,100,-0.122
1709252678.766137,2607325.000,44680,3,GX,1,100,0.000
1709252678.806138,2607365.000,44680,3,GX,1,100,-0.397
1709252678.846139,2607405.000,44680,3,GX,1,100,-0.092
1709252678.886140,2607445.000,44696,2,GX,1,100,-0.580
1709252678.926141,2607485.000,44696,2,GX,1,100,-0.214
1709252678.966142,2607525.000,44714,3,GX,1,100,0.122
1709252679.006143,2607565.000,44714,3,GX,1,100,0.122
1709252679.046144,2607605.000,44714,3,GX,1,100,-0.031
1709252679.086145,2607645.000,44728,2,GX,1,100,0.061
1709252679.126146,2607685.000,44728,2,GX,1,100,-0.061
1709252679.166147,2607725.000,44745,3,GX,1,100,-0.488
1709252679.206148,2607765.000,44745,3,GX,1,100,-0.641
1709252679.246150,2607805.000,44745,3,GX,1,100,-0.275
1709252679.286150,2607845.000,44761,2,GX,1,100,-0.427
1709252679.326152,2607885.000,44761,2,GX,1,100,0.214
1709252679.366153,2607925.000,44781,3,GX,1,100,-0.366
1709252679.406154,2607965.000,44781,3,GX,1,100,-0.427
1709252679.446155,2608005.000,44781,3,GX,1,100,-0.427
1709252679.486156,2608045.000,44800,3,GX,1,100,-0.366
1709252679.526157,2608085.000,44800,3,GX,1,100,-0.702
1709252679.566158,2608125.000,44800,3,GX,1,100,-0.763
1709252679.602659,2608161.500,44820,4,GX,1,100,-0.153
1709252679.639160,2608198.000,44820,4,GX,1,100,-0.244
1709252679.675661,2608234.500,44820,4,GX,1,100,-0.549
1709252679.712162,2608271.000,44820,4,GX,1,100,-0.580
1709252679.752163,2608311.000,44834,2,GX,1,100,-0.366
1709252679.792164,2608351.000,44834,2,GX,1,100,-0.366
1709252679.832165,2608391.000,44851,3,GX,1,100,-0.153
1709252679.872166,2608431.000,44851,3,GX,1,100,-0.336
1709252679.912167,2608471.000,44851,3,GX,1,100,-0.458
1709252679.952168,2608511.000,44867,2,GX,1,100,-0.244
1709252679.992169,2608551.000,44867,2,GX,1,100,0.183
1709252680.032170,2608591.000,44885,3,GX,1,100,-0.244
1709252680.072171,2608631.000,44885,3,GX,1,100,-1.038
1709252680.112172,2608671.000,44885,3,GX,1,100,-1.404
1709252680.152173,2608711.000,44901,3,GX,1,100,-0.122
1709252680.192174,2608751.000,44901,3,GX,1,100,0.397
1709252680.232175,2608791.000,44901,3,GX,1,100,0.427
1709252680.272176,2608831.000,44916,2,GX,1,100,-0.854
1709252680.312177,2608871.000,44916,2,GX,1,100,-1.617
1709252680.352178,2608911.000,44933,3,GX,1,100,-1.312
1709252680.392179,2608951.000,44933,3,GX,1,100,0.610
1709252680.432180,2608991.000,44933,3,GX,1,100,-0.427
1709252680.472182,2609031.000,44950,2,GX,1,100,-0.488
1709252680.512182,2609071.000,44950,2,GX,1,100,-1.495
1709252680.552184,2609111.000,44966,3,GX,1,100,-2.991
1709252680.592185,2609151.000,44966,3,GX,1,100,-1.160
1709252680.632186,2609191.000,44966,3,GX,1,100,0.397
1709252680.672187,2609231.000,44982,2,GX,1,100,1.404
1709252680.712188,2609271.000,44982,2,GX,1,100,0.244
1709252680.752189,2609311.000,44998,3,GX,1,100,-0.946
1709252680.792190,2609351.000,44998,3,GX,1,100,-1.465
1709252680.832191,2609391.000,44998,3,GX,1,100,0.336
1709252680.872192,2609431.000,45017,2,GX,1,100,0.244
1709252680.912193,2609471.000,45017,2,GX,1,100,-0.336
1709252680.952194,2609511.000,45034,3,GX,1,100,-0.610
1709252680.992195,2609551.000,45034,3,GX,1,100,0.183
1709252681.032196,2609591.000,45034,3,GX,1,100,-0.092
1709252681.072197,2609631.000,45049,2,GX,1,100,-0.732
1709252681.112198,2609671.000,45049,2,GX,1,100,-0.824
1709252681.152199,2609711.000,45065,3,GX,1,100,-0.366
1709252681.192200,2609751.000,45065,3,GX,1,100,-0.092
1709252681.232201,2609791.000,45065,3,GX,1,100,0.519
1709252681.272202,2609831.000,45082,3,GX,1,100,-0.458
1709252681.312203,2609871.000,45082,3,GX,1,100,-0.671
1709252681.352205,2609911.000,45082,3,GX,1,100,-0.153
1709252681.392205,2609951.000,45099,2,GX,1,100,-0.061
