LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709252675.793059,2604352.000,44197,3,PR,1,100,134985
1709252675.833060,2604392.000,44197,3,PR,1,100,135012
1709252675.873061,2604432.000,44214,2,PR,1,100,135008
1709252675.913062,2604472.000,44214,2,PR,1,100,134992
1709252675.953063,2604512.000,44229,3,PR,1,100,134979
1709252675.993065,2604552.000,44229,3,PR,1,100,134978
1709252676.033066,2604592.000,44229,3,PR,1,100,134997
1709252676.073067,2604632.000,44246,2,PR,1,100,134970
1709252676.113068,2604672.000,44246,2,PR,1,100,134959
1709252676.153069,2604712.000,44262,3,PR,1,100,134990
1709252676.193070,2604752.000,44262,3,PR,1,100,134969
1709252676.233071,2604792.000,44262,3,PR,1,100,134965
1709252676.273072,2604832.000,44279,2,PR,1,100,134970
1709252676.313073,2604872.000,44279,2,PR,1,100,134979
1709252676.353074,2604912.000,44294,3,PR,1,100,134970
1709252676.393075,2604952.000,44294,3,PR,1,100,134958
1709252676.433076,2604992.000,44294,3,PR,1,100,134959
1709252676.473077,2605032.000,44311,3,PR,1,100,134946
1709252676.513078,2605072.000,44311,3,PR,1,100,134956
1709252676.553079,2605112.000,44311,3,PR,1,100,134961
1709252676.593080,2605152.000,44327,2,PR,1,100,134950
1709252676.633081,2605192.000,44327,2,PR,1,100,134953
1709252676.673082,2605232.000,44345,3,PR,1,100,134969
1709252676.713083,2605272.000,44345,3,PR,1,100,134944
1709252676.753084,2605312.000,44345,3,PR,1,100,134935
1709252676.793085,2605352.000,44359,2,PR,1,100,134944
1709252676.833086,2605392.000,44359,2,PR,1,100,134939
1709252676.873087,2605432.000,44376,3,PR,1,100,134937
1709252676.913089,2605472.000,44376,3,PR,1,100,134946
1709252676.953090,2605512.000,44376,3,PR,1,100,134947
1709252676.993091,2605552.000,44393,2,PR,1,100,134927
1709252677.033092,2605592.000,44393,2,PR,1,100,134920
1709252677.073093,2605632.000,44410,3,PR,1,100,134921
1709252677.113094,2605672.000,44410,3,PR,1,100,134937
1709252677.153095,2605712.000,44410,3,PR,1,100,134929
1709252677.193096,2605752.000,44425,2,PR,1,100,134910
1709252677.233097,2605792.000,44425,2,PR,1,100,134892
1709252677.276348,2605835.250,44442,4,PR,1,100,134883
1709252677.319599,2605878.500,44442,4,PR,1,100,134898
1709252677.362850,2605921.750,44442,4,PR,1,100,134890
1709252677.406101,2605965.000,44442,4,PR,1,100,134850
1709252677.446102,2606005.000,44458,2,PR,1,100,134876
1709252677.486104,2606045.000,44458,2,PR,1,100,134880
1709252677.526105,2606085.000,44475,3,PR,1,100,134873
1709252677.566106,2606125.000,44475,3,PR,1,100,134866
1709252677.606107,2606165.000,44475,3,PR,1,100,134881
1709252677.646108,2606205.000,44492,3,PR,1,100,134856
