LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1709872540.225960,968148.000,27497,2,AZ,1,100,0.956
1709872540.265961,968188.000,27497,2,AZ,1,100,0.960
1709872540.305961,968228.000,27514,3,AZ,1,100,0.956
1709872540.345962,968268.000,27514,3,AZ,1,100,0.952
1709872540.385962,968308.000,27514,3,AZ,1,100,0.958
1709872540.425962,968348.000,27530,2,AZ,1,100,0.952
1709872540.465963,968388.000,27530,2,AZ,1,100,0.957
1709872540.505963,968428.000,27548,3,AZ,1,100,0.952
1709872540.545964,968468.000,27548,3,AZ,1,100,0.953
1709872540.585964,968508.000,27548,3,AZ,1,100,0.953
1709872540.625965,968548.000,27566,3,AZ,1,100,0.957
1709872540.665965,968588.000,27566,3,AZ,1,100,0.954
1709872540.705966,968628.000,27566,3,AZ,1,100,0.955
1709872540.745966,968668.000,27582,2,AZ,1,100,0.954
1709872540.785967,968708.000,27582,2,AZ,1,100,0.952
1709872540.825967,968748.000,27598,3,AZ,1,100,0.954
1709872540.865968,968788.000,27598,3,AZ,1,100,0.952
1709872540.905968,968828.000,27598,3,AZ,1,100,0.959
1709872540.945968,968868.000,27617,2,AZ,1,100,0.949
1709872540.985969,968908.000,27617,2,AZ,1,100,0.954
1709872541.025969,968948.000,27633,3,AZ,1,100,0.955
1709872541.065970,968988.000,27633,3,AZ,1,100,0.951
1709872541.105970,969028.000,27633,3,AZ,1,100,0.955
1709872541.141637,969063.667,27651,3,AZ,1,100,0.951
1709872541.177305,969099.333,27651,3,AZ,1,100,0.955
1709872541.212971,969135.000,27651,3,AZ,1,100,0.953
1709872541.252972,969175.000,27665,2,AZ,1,100,0.951
1709872541.292972,969215.000,27665,2,AZ,1,100,0.949
1709872541.332973,969255.000,27682,3,AZ,1,100,0.954
1709872541.372973,969295.000,27682,3,AZ,1,100,0.951
1709872541.412974,969335.000,27682,3,AZ,1,100,0.951
1709872541.452974,969375.000,27698,2,AZ,1,100,0.956
1709872541.492975,969415.000,27698,2,AZ,1,100,0.950
1709872541.532975,969455.000,27716,3,AZ,1,100,0.951
1709872541.572976,969495.000,27716,3,AZ,1,100,0.954
1709872541.612976,969535.000,27716,3,AZ,1,100,0.952
1709872541.652977,969575.000,27730,2,AZ,1,100,0.951
1709872541.692977,969615.000,27730,2,AZ,1,100,0.955
1709872541.732977,969655.000,27747,3,AZ,1,100,0.954
1709872541.772978,969695.000,27747,3,AZ,1,100,0.956
1709872541.812978,969735.000,27747,3,AZ,1,100,0.955
1709872541.852979,969775.000,27764,2,AZ,1,100,0.947
1709872541.892979,969815.000,27764,2,AZ,1,100,0.956
1709872541.932647,969854.667,27783,3,AZ,1,100,0.951
1709872541.972313,969894.333,27783,3,AZ,1,100,0.955
1709872542.011981,969934.000,27783,3,AZ,1,100,0.947
1709872542.051981,969974.000,27797,2,AZ,1,100,0.949
1709872542.091982,970014.000,27797,2,AZ,1,100,0.948
1709872542.131982,970054.000,27817,3,AZ,1,100,0.954
1709872542.171983,970094.000,27817,3,AZ,1,100,0.953
1709872542.211983,970134.000,27817,3,AZ,1,100,0.955
1709872542.251983,970174.000,27833,3,AZ,1,100,0.950
1709872542.291984,970214.000,27833,3,AZ,1,100,0.953
1709872542.331984,970254.000,27833,3,AZ,1,100,0.959
1709872542.371985,970294.000,27850,2,AZ,1,100,0.950
1709872542.411985,970334.000,27850,2,AZ,1,100,0.951
1709872542.451986,970374.000,27864,3,AZ,1,100,0.953
1709872542.491986,970414.000,27864,3,AZ,1,100,0.951
1709872542.531986,970454.000,27864,3,AZ,1,100,0.956
1709872542.571987,970494.000,27884,2,AZ,1,100,0.954
1709872542.611988,970534.000,27884,2,AZ,1,100,0.950
1709872542.651988,970574.000,27900,3,AZ,1,100,0.958
1709872542.691988,970614.000,27900,3,AZ,1,100,0.955
1709872542.731989,970654.000,27900,3,AZ,1,100,0.954
1709872542.771989,970694.000,27917,3,AZ,1,100,0.949
1709872542.811990,970734.000,27917,3,AZ,1,100,0.952
1709872542.851990,970774.000,27917,3,AZ,1,100,0.954
1709872542.891991,970814.000,27936,3,AZ,1,100,0.950
