LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709872556.677148,984599,30267,1,SR,1,100,0.333333
1709872557.544158,985466,30368,1,SR,1,100,0.066667
1709872558.477169,986399,30552,1,SR,1,100,0.266667
1709872558.877173,986799,30621,1,SR,1,100,0.200000
1709872559.677183,987599,30776,1,SR,1,100,0.333333
1709872560.677194,988599,30943,1,SR,1,100,0.333333
1709872561.543204,989465,31091,1,SR,1,100,0.400000
1709872562.076210,989998,31127,1,SR,1,100,0.133333
1709872562.743218,990665,31259,1,SR,1,100,0.200000
1709872563.210223,991132,31326,1,SR,1,100,0.200000
1709872563.676228,991598,31377,1,SR,1,100,0.066667
1709872563.876231,991798,31446,1,SR,1,100,0.200000
1709872564.609239,992531,31538,1,SR,1,100,0.066667
1709872564.809241,992731,31605,1,SR,1,100,0.266667
1709872565.809253,993731,31758,1,SR,1,100,0.266667
1709872566.209257,994131,31859,1,SR,1,100,0.466667
1709872567.476272,995398,32025,1,SR,1,100,0.133333
1709872567.742275,995664,32059,1,SR,1,100,0.066667
1709872567.942277,995864,32177,1,SR,1,100,0.600000
1709872568.809287,996731,32260,1,SR,1,100,0.266667
1709872569.742298,997664,32431,1,SR,1,100,0.333333
1709872570.209303,998131,32469,1,SR,1,100,0.133333
1709872570.609308,998531,32553,1,SR,1,100,0.200000
1709872571.075313,998997,32603,1,SR,1,100,0.066667
1709872571.543318,999465,32688,1,SR,1,100,0.066667
1709872572.143325,1000065,32822,1,SR,1,100,0.333333
1709872573.276338,1001198,32988,1,SR,1,100,0.200000
1709872573.608342,1001530,33089,1,SR,1,100,0.400000
1709872574.408351,1002330,33156,1,SR,1,100,0.066667
1709872575.275361,1003197,33330,1,SR,1,100,0.333333
1709872575.741366,1003663,33365,1,SR,1,100,0.066667
1709872576.075370,1003997,33498,1,SR,1,100,0.466667
1709872576.675377,1004597,33535,1,SR,1,100,0.133333
1709872577.075382,1004997,33603,1,SR,1,100,0.133333
1709872577.609388,1005531,33691,1,SR,1,100,0.200000
1709872577.941391,1005863,33758,1,SR,1,100,0.200000
1709872578.408397,1006330,33859,1,SR,1,100,0.400000
1709872579.808413,1007730,34031,1,SR,1,100,0.066667
1709872580.008415,1007930,34064,1,SR,1,100,0.133333
1709872580.274418,1008196,34134,1,SR,1,100,0.266667
1709872580.674423,1008596,34185,1,SR,1,100,0.133333
1709872581.342430,1009264,34349,1,SR,1,100,0.466667
1709872582.208440,1010130,34419,1,SR,1,100,0.066667
1709872582.674446,1010596,34501,1,SR,1,100,0.133333
1709872583.341453,1011263,34619,1,SR,1,100,0.200000
1709872583.807458,1011729,34686,1,SR,1,100,0.133333
1709872584.074461,1011996,34719,1,SR,1,100,0.066667
1709872584.274464,1012196,34755,1,SR,1,100,0.066667
1709872584.475466,1012397,34822,1,SR,1,100,0.266667
1709872585.274475,1013196,34963,1,SR,1,100,0.266667
1709872585.941483,1013863,35046,1,SR,1,100,0.133333
1709872586.474489,1014396,35164,1,SR,1,100,0.400000
1709872587.274498,1015196,35262,1,SR,1,100,0.200000
1709872587.740504,1015662,35332,1,SR,1,100,0.066667
1709872588.540513,1016462,35452,1,SR,1,100,0.066667
1709872588.741515,1016663,35502,1,SR,1,100,0.200000
1709872589.207520,1017129,35571,1,SR,1,100,0.066667
1709872589.541524,1017463,35638,1,SR,1,100,0.200000
1709872590.007529,1017929,35694,1,SR,1,100,0.133333
1709872590.407534,1018329,35781,1,SR,1,100,0.200000
1709872591.074542,1018996,35900,1,SR,1,100,0.266667
1709872591.740549,1019662,36032,1,SR,1,100,0.400000
1709872592.274555,1020196,36100,1,SR,1,100,0.333333
1709872593.273567,1021195,36235,1,SR,1,100,0.333333
1709872593.740572,1021662,36287,1,SR,1,100,0.200000
1709872594.340579,1022262,36370,1,SR,1,100,0.200000
1709872594.673583,1022595,36437,1,SR,1,100,0.200000
1709872595.140588,1023062,36512,1,SR,1,100,0.266667
1709872595.673594,1023595,36579,1,SR,1,100,0.133333
