LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1709872542.171983,970094.000,27821,3,MX,1,100,15
1709872542.211983,970134.000,27821,3,MX,1,100,15
1709872542.251983,970174.000,27837,3,MX,1,100,15
1709872542.291984,970214.000,27837,3,MX,1,100,16
1709872542.331984,970254.000,27837,3,MX,1,100,16
1709872542.371985,970294.000,27854,2,MX,1,100,15
1709872542.411985,970334.000,27854,2,MX,1,100,16
1709872542.451986,970374.000,27868,3,MX,1,100,16
1709872542.491986,970414.000,27868,3,MX,1,100,15
1709872542.531986,970454.000,27868,3,MX,1,100,15
1709872542.571987,970494.000,27888,2,MX,1,100,15
1709872542.611988,970534.000,27888,2,MX,1,100,15
1709872542.651988,970574.000,27904,3,MX,1,100,16
1709872542.691988,970614.000,27904,3,MX,1,100,15
1709872542.731989,970654.000,27904,3,MX,1,100,15
1709872542.771989,970694.000,27921,3,MX,1,100,16
1709872542.811990,970734.000,27921,3,MX,1,100,16
1709872542.851990,970774.000,27921,3,MX,1,100,15
1709872542.891991,970814.000,27940,3,MX,1,100,16
1709872542.931991,970854.000,27940,3,MX,1,100,16
1709872542.971992,970894.000,27940,3,MX,1,100,15
1709872543.011992,970934.000,27956,2,MX,1,100,16
1709872543.051992,970974.000,27956,2,MX,1,100,15
1709872543.087660,971009.667,27971,3,MX,1,100,16
1709872543.123327,971045.333,27971,3,MX,1,100,15
1709872543.158994,971081.000,27971,3,MX,1,100,15
1709872543.198994,971121.000,27991,3,MX,1,100,16
1709872543.238995,971161.000,27991,3,MX,1,100,15
1709872543.278995,971201.000,27991,3,MX,1,100,16
1709872543.318995,971241.000,28007,2,MX,1,100,15
1709872543.358996,971281.000,28007,2,MX,1,100,15
1709872543.398997,971321.000,28026,3,MX,1,100,15
1709872543.438997,971361.000,28026,3,MX,1,100,15
1709872543.478997,971401.000,28026,3,MX,1,100,15
1709872543.518998,971441.000,28041,2,MX,1,100,15
1709872543.558998,971481.000,28041,2,MX,1,100,16
1709872543.598999,971521.000,28058,3,MX,1,100,17
1709872543.638999,971561.000,28058,3,MX,1,100,15
1709872543.679000,971601.000,28058,3,MX,1,100,15
1709872543.719000,971641.000,28074,2,MX,1,100,15
1709872543.759001,971681.000,28074,2,MX,1,100,16
1709872543.799001,971721.000,28094,3,MX,1,100,16
1709872543.839001,971761.000,28094,3,MX,1,100,15
1709872543.879002,971801.000,28094,3,MX,1,100,17
1709872543.919003,971841.000,28113,4,MX,1,100,15
1709872543.959003,971881.000,28113,4,MX,1,100,15
1709872543.999003,971921.000,28113,4,MX,1,100,16
1709872544.039004,971961.000,28113,4,MX,1,100,15
1709872544.079004,972001.000,28130,3,MX,1,100,15
1709872544.119005,972041.000,28130,3,MX,1,100,15
1709872544.159005,972081.000,28130,3,MX,1,100,16
1709872544.199006,972121.000,28145,2,MX,1,100,16
1709872544.239006,972161.000,28145,2,MX,1,100,16
1709872544.279006,972201.000,28162,3,MX,1,100,16
1709872544.319007,972241.000,28162,3,MX,1,100,15
1709872544.359007,972281.000,28162,3,MX,1,100,17
1709872544.399008,972321.000,28178,2,MX,1,100,16
1709872544.439008,972361.000,28178,2,MX,1,100,16
1709872544.479009,972401.000,28198,3,MX,1,100,17
1709872544.519009,972441.000,28198,3,MX,1,100,16
1709872544.559010,972481.000,28198,3,MX,1,100,15
1709872544.599010,972521.000,28212,2,MX,1,100,17
1709872544.639011,972561.000,28212,2,MX,1,100,16
1709872544.679011,972601.000,28229,3,MX,1,100,16
1709872544.719012,972641.000,28229,3,MX,1,100,16
1709872544.759012,972681.000,28229,3,MX,1,100,17
1709872544.799012,972721.000,28245,2,MX,1,100,15
1709872544.839013,972761.000,28245,2,MX,1,100,17
1709872544.879014,972801.000,28263,3,MX,1,100,15
1709872544.919014,972841.000,28263,3,MX,1,100,15
1709872544.959014,972881.000,28263,3,MX,1,100,17
1709872544.994681,972916.667,28277,3,MX,1,100,16
1709872545.030349,972952.333,28277,3,MX,1,100,15
1709872545.066015,972988.000,28277,3,MX,1,100,16
1709872545.106016,973028.000,28294,2,MX,1,100,15
1709872545.146016,973068.000,28294,2,MX,1,100,15
1709872545.186017,973108.000,28311,3,MX,1,100,16
1709872545.226017,973148.000,28311,3,MX,1,100,15
1709872545.266018,973188.000,28311,3,MX,1,100,15
1709872545.306018,973228.000,28330,2,MX,1,100,15
1709872545.346019,973268.000,28330,2,MX,1,100,15
1709872545.386019,973308.000,28345,3,MX,1,100,17
1709872545.426020,973348.000,28345,3,MX,1,100,15
1709872545.466020,973388.000,28345,3,MX,1,100,17
1709872545.506021,973428.000,28364,2,MX,1,100,15
1709872545.546021,973468.000,28364,2,MX,1,100,15
1709872545.586021,973508.000,28382,3,MX,1,100,15
1709872545.626022,973548.000,28382,3,MX,1,100,16
1709872545.666022,973588.000,28382,3,MX,1,100,16
1709872545.706023,973628.000,28399,2,MX,1,100,15
1709872545.746023,973668.000,28399,2,MX,1,100,15
1709872545.786024,973708.000,28416,3,MX,1,100,15
1709872545.826024,973748.000,28416,3,MX,1,100,15
1709872545.866025,973788.000,28416,3,MX,1,100,15
1709872545.906025,973828.000,28433,2,MX,1,100,17
1709872545.946026,973868.000,28433,2,MX,1,100,16
1709872545.986026,973908.000,28449,3,MX,1,100,15
1709872546.026026,973948.000,28449,3,MX,1,100,16
1709872546.066027,973988.000,28449,3,MX,1,100,16
1709872546.106027,974028.000,28468,2,MX,1,100,15
1709872546.146028,974068.000,28468,2,MX,1,100,15
1709872546.186028,974108.000,28485,3,MX,1,100,15
1709872546.226029,974148.000,28485,3,MX,1,100,15
1709872546.266029,974188.000,28485,3,MX,1,100,16
1709872546.306030,974228.000,28500,2,MX,1,100,16
1709872546.346030,974268.000,28500,2,MX,1,100,16
1709872546.386031,974308.000,28518,3,MX,1,100,17
1709872546.426031,974348.000,28518,3,MX,1,100,16
1709872546.466032,974388.000,28518,3,MX,1,100,16
1709872546.506032,974428.000,28536,3,MX,1,100,16
1709872546.546032,974468.000,28536,3,MX,1,100,15
1709872546.586033,974508.000,28536,3,MX,1,100,16
1709872546.626033,974548.000,28552,2,MX,1,100,17
1709872546.666034,974588.000,28552,2,MX,1,100,16
1709872546.706034,974628.000,28567,3,MX,1,100,17
1709872546.746035,974668.000,28567,3,MX,1,100,16
1709872546.786035,974708.000,28567,3,MX,1,100,15
1709872546.826036,974748.000,28584,2,MX,1,100,16
1709872546.866036,974788.000,28584,2,MX,1,100,17
1709872546.901370,974823.333,28601,3,MX,1,100,15
1709872546.936704,974858.667,28601,3,MX,1,100,16
1709872546.972037,974894.000,28601,3,MX,1,100,17
1709872547.012038,974934.000,28617,3,MX,1,100,17
1709872547.052038,974974.000,28617,3,MX,1,100,16
1709872547.092039,975014.000,28617,3,MX,1,100,17
1709872547.132039,975054.000,28634,2,MX,1,100,15
1709872547.172040,975094.000,28634,2,MX,1,100,16
1709872547.212040,975134.000,28651,3,MX,1,100,16
1709872547.252041,975174.000,28651,3,MX,1,100,17
1709872547.292041,975214.000,28651,3,MX,1,100,15
1709872547.332042,975254.000,28668,2,MX,1,100,15
1709872547.372042,975294.000,28668,2,MX,1,100,17
1709872547.412042,975334.000,28684,3,MX,1,100,16
1709872547.452043,975374.000,28684,3,MX,1,100,15
1709872547.492043,975414.000,28684,3,MX,1,100,16
1709872547.532044,975454.000,28700,2,MX,1,100,17
1709872547.572044,975494.000,28700,2,MX,1,100,17
1709872547.612045,975534.000,28718,3,MX,1,100,16
1709872547.652045,975574.000,28718,3,MX,1,100,16
1709872547.692046,975614.000,28718,3,MX,1,100,17
1709872547.732046,975654.000,28735,2,MX,1,100,16
1709872547.772047,975694.000,28735,2,MX,1,100,15
1709872547.812047,975734.000,28754,3,MX,1,100,16
1709872547.852047,975774.000,28754,3,MX,1,100,16
1709872547.892048,975814.000,28754,3,MX,1,100,17
1709872547.932048,975854.000,28770,2,MX,1,100,17
1709872547.972049,975894.000,28770,2,MX,1,100,17
1709872548.012049,975934.000,28785,3,MX,1,100,16
1709872548.052050,975974.000,28785,3,MX,1,100,16
1709872548.092050,976014.000,28785,3,MX,1,100,17
1709872548.132051,976054.000,28802,2,MX,1,100,16
1709872548.172051,976094.000,28802,2,MX,1,100,17
1709872548.212052,976134.000,28821,3,MX,1,100,15
1709872548.252052,976174.000,28821,3,MX,1,100,16
1709872548.292053,976214.000,28821,3,MX,1,100,16
1709872548.332053,976254.000,28838,3,MX,1,100,17
1709872548.372053,976294.000,28838,3,MX,1,100,16
1709872548.412054,976334.000,28838,3,MX,1,100,17
1709872548.452054,976374.000,28852,2,MX,1,100,16
1709872548.492055,976414.000,28852,2,MX,1,100,17
1709872548.532055,976454.000,28872,3,MX,1,100,16
1709872548.572056,976494.000,28872,3,MX,1,100,17
1709872548.612056,976534.000,28872,3,MX,1,100,15
1709872548.652056,976574.000,28888,2,MX,1,100,16
1709872548.692057,976614.000,28888,2,MX,1,100,17
1709872548.727724,976649.667,28905,3,MX,1,100,17
1709872548.763391,976685.333,28905,3,MX,1,100,16
1709872548.799058,976721.000,28905,3,MX,1,100,16
1709872548.839059,976761.000,28920,3,MX,1,100,18
1709872548.879059,976801.000,28920,3,MX,1,100,15
1709872548.919060,976841.000,28920,3,MX,1,100,17
1709872548.959060,976881.000,28939,2,MX,1,100,16
1709872548.999061,976921.000,28939,2,MX,1,100,16
1709872549.039061,976961.000,28961,4,MX,1,100,16
1709872549.079062,977001.000,28961,4,MX,1,100,16
1709872549.119062,977041.000,28961,4,MX,1,100,16
1709872549.159062,977081.000,28961,4,MX,1,100,17
1709872549.199063,977121.000,28980,3,MX,1,100,17
1709872549.239063,977161.000,28980,3,MX,1,100,16
1709872549.279064,977201.000,28980,3,MX,1,100,16
1709872549.319064,977241.000,28997,2,MX,1,100,17
1709872549.359065,977281.000,28997,2,MX,1,100,16
1709872549.399065,977321.000,29015,3,MX,1,100,16
1709872549.439065,977361.000,29015,3,MX,1,100,17
1709872549.479066,977401.000,29015,3,MX,1,100,16
1709872549.519067,977441.000,29031,2,MX,1,100,16
1709872549.559067,977481.000,29031,2,MX,1,100,16
1709872549.599067,977521.000,29047,3,MX,1,100,17
1709872549.639068,977561.000,29047,3,MX,1,100,16
1709872549.679068,977601.000,29047,3,MX,1,100,16
1709872549.719069,977641.000,29064,3,MX,1,100,17
1709872549.759069,977681.000,29064,3,MX,1,100,16
1709872549.799070,977721.000,29064,3,MX,1,100,15
1709872549.839070,977761.000,29081,2,MX,1,100,16
1709872549.879071,977801.000,29081,2,MX,1,100,17
1709872549.919071,977841.000,29096,3,MX,1,100,16
1709872549.959071,977881.000,29096,3,MX,1,100,16
1709872549.999072,977921.000,29096,3,MX,1,100,17
1709872550.039073,977961.000,29112,2,MX,1,100,17
1709872550.079073,978001.000,29112,2,MX,1,100,17
1709872550.119073,978041.000,29129,3,MX,1,100,16
1709872550.159074,978081.000,29129,3,MX,1,100,16
1709872550.199074,978121.000,29129,3,MX,1,100,17
1709872550.239075,978161.000,29148,2,MX,1,100,17
1709872550.279075,978201.000,29148,2,MX,1,100,16
1709872550.319076,978241.000,29164,3,MX,1,100,16
1709872550.359076,978281.000,29164,3,MX,1,100,16
1709872550.399076,978321.000,29164,3,MX,1,100,17
1709872550.439077,978361.000,29181,2,MX,1,100,17
1709872550.479077,978401.000,29181,2,MX,1,100,17
1709872550.519078,978441.000,29199,3,MX,1,100,16
1709872550.559078,978481.000,29199,3,MX,1,100,16
1709872550.599079,978521.000,29199,3,MX,1,100,17
1709872550.634413,978556.333,29215,3,MX,1,100,17
1709872550.669746,978591.667,29215,3,MX,1,100,16
1709872550.705080,978627.000,29215,3,MX,1,100,17
1709872550.745080,978667.000,29232,2,MX,1,100,17
1709872550.785081,978707.000,29232,2,MX,1,100,16
1709872550.825081,978747.000,29249,3,MX,1,100,17
1709872550.865082,978787.000,29249,3,MX,1,100,16
1709872550.905082,978827.000,29249,3,MX,1,100,17
1709872550.945083,978867.000,29266,2,MX,1,100,16
1709872550.985083,978907.000,29266,2,MX,1,100,16
1709872551.025084,978947.000,29284,3,MX,1,100,17
1709872551.065084,978987.000,29284,3,MX,1,100,16
1709872551.105085,979027.000,29284,3,MX,1,100,17
1709872551.145085,979067.000,29302,2,MX,1,100,17
1709872551.185086,979107.000,29302,2,MX,1,100,17
1709872551.225086,979147.000,29316,3,MX,1,100,17
1709872551.265086,979187.000,29316,3,MX,1,100,16
1709872551.305087,979227.000,29316,3,MX,1,100,15
1709872551.345087,979267.000,29333,2,MX,1,100,16
1709872551.385088,979307.000,29333,2,MX,1,100,16
1709872551.425088,979347.000,29349,3,MX,1,100,16
1709872551.465089,979387.000,29349,3,MX,1,100,16
1709872551.505089,979427.000,29349,3,MX,1,100,16
1709872551.545090,979467.000,29367,2,MX,1,100,17
