LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1709872380.561595,808483,1246,1,SA,1,100,0.000037
1709872381.428580,809350,1299,1,SA,1,100,0.000008
1709872381.761574,809683,1369,1,SA,1,100,0.000012
1709872382.028569,809950,1420,1,SA,1,100,0.000009
1709872382.295564,810217,1488,1,SA,1,100,0.000012
1709872382.961552,810883,1574,1,SA,1,100,0.000010
1709872383.361545,811283,1658,1,SA,1,100,0.000011
1709872383.828537,811750,1778,1,SA,1,100,0.000032
1709872384.761520,812683,1912,1,SA,1,100,0.000017
1709872385.227512,813149,1969,1,SA,1,100,0.000022
1709872385.694503,813616,2036,1,SA,1,100,0.000010
1709872386.094496,814016,2089,1,SA,1,100,0.000005
1709872386.560488,814482,2171,1,SA,1,100,0.000004
1709872386.760484,814682,2207,1,SA,1,100,0.000011
1709872387.160477,815082,2291,1,SA,1,100,0.000018
1709872387.760466,815682,2425,1,SA,1,100,0.000024
1709872388.428454,816350,2493,1,SA,1,100,0.000010
1709872389.160441,817082,2661,1,SA,1,100,0.000046
1709872389.960427,817882,2746,1,SA,1,100,0.000012
1709872390.561416,818483,2871,1,SA,1,100,0.000019
1709872391.294403,819216,2955,1,SA,1,100,0.000003
1709872391.560398,819482,3023,1,SA,1,100,0.000018
1709872392.294385,820216,3155,1,SA,1,100,0.000040
1709872392.894374,820816,3208,1,SA,1,100,0.000006
1709872395.226332,823148,3619,1,SA,1,100,0.000004
1709872395.760323,823682,3711,1,SA,1,100,0.000018
1709872396.426311,824348,3793,1,SA,1,100,0.000005
1709872397.026300,824948,3895,1,SA,1,100,0.000016
1709872397.559290,825481,3998,1,SA,1,100,0.000017
1709872398.026282,825948,4049,1,SA,1,100,0.000006
1709872398.493274,826415,4135,1,SA,1,100,0.000003
1709872398.826268,826748,4234,1,SA,1,100,0.000031
1709872399.359258,827281,4269,1,SA,1,100,0.000013
1709872399.692252,827614,4336,1,SA,1,100,0.000010
1709872400.092245,828014,4406,1,SA,1,100,0.000017
1709872400.626235,828548,4495,1,SA,1,100,0.000002
1709872400.826232,828748,4531,1,SA,1,100,0.000009
1709872401.226225,829148,4613,1,SA,1,100,0.000012
1709872401.693216,829615,4714,1,SA,1,100,0.000030
1709872402.426203,830348,4798,1,SA,1,100,0.000016
1709872403.159190,831081,4897,1,SA,1,100,0.000008
1709872403.759179,831681,5030,1,SA,1,100,0.000014
1709872404.425167,832347,5113,1,SA,1,100,0.000001
1709872404.625164,832547,5181,1,SA,1,100,0.000023
1709872405.225153,833147,5250,1,SA,1,100,0.000005
1709872405.425149,833347,5285,1,SA,1,100,0.000005
1709872405.625146,833547,5319,1,SA,1,100,0.000005
1709872406.025139,833947,5408,1,SA,1,100,0.000016
1709872406.358133,834280,5461,1,SA,1,100,0.000014
1709872407.358115,835280,5607,1,SA,1,100,0.000007
1709872407.558111,835480,5676,1,SA,1,100,0.000022
1709872408.025103,835947,5728,1,SA,1,100,0.000006
1709872408.891087,836813,5876,1,SA,1,100,0.000009
1709872409.225081,837147,5910,1,SA,1,100,0.000000
1709872409.558075,837480,6011,1,SA,1,100,0.000028
1709872410.291062,838213,6145,1,SA,1,100,0.000027
1709872411.425042,839347,6264,1,SA,1,100,0.000004
1709872411.625038,839547,6298,1,SA,1,100,0.000005
1709872411.891033,839813,6334,1,SA,1,100,0.000005
1709872412.091030,840013,6367,1,SA,1,100,0.000006
1709872412.291026,840213,6420,1,SA,1,100,0.000007
1709872412.691019,840613,6487,1,SA,1,100,0.000012
1709872413.091012,841013,6569,1,SA,1,100,0.000023
1709872413.424006,841346,6653,1,SA,1,100,0.000026
1709872414.757982,842680,6851,1,SA,1,100,0.000038
1709872416.024959,843947,7056,1,SA,1,100,0.000012
1709872416.423952,844346,7125,1,SA,1,100,0.000016
1709872416.890944,844813,7209,1,SA,1,100,0.000019
1709872417.756928,845679,7408,1,SA,1,100,0.000042
1709872418.556914,846479,7443,1,SA,1,100,0.000005
1709872419.223902,847146,7578,1,SA,1,100,0.000018
1709872419.756892,847679,7661,1,SA,1,100,0.000016
1709872420.089886,848012,7698,1,SA,1,100,0.000009
1709872420.289883,848212,7748,1,SA,1,100,0.000012
1709872420.889872,848812,7874,1,SA,1,100,0.000021
1709872421.357864,849280,7924,1,SA,1,100,0.000009
1709872421.689858,849612,7974,1,SA,1,100,0.000007
1709872422.222848,850145,8075,1,SA,1,100,0.000011
1709872422.557842,850480,8174,1,SA,1,100,0.000037
1709872423.156832,851079,8226,1,SA,1,100,0.000011
