LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1709872315.716758,743637.000,56087,3,AY,1,100,-0.014
1709872315.756757,743677.000,56087,3,AY,1,100,-0.010
1709872315.796757,743717.000,56087,3,AY,1,100,-0.011
1709872315.836756,743757.000,56106,2,AY,1,100,-0.005
1709872315.876755,743797.000,56106,2,AY,1,100,-0.001
1709872315.916755,743837.000,56121,3,AY,1,100,-0.004
1709872315.956754,743877.000,56121,3,AY,1,100,-0.010
1709872315.996753,743917.000,56121,3,AY,1,100,-0.011
1709872316.036752,743957.000,56137,3,AY,1,100,-0.009
1709872316.076752,743997.000,56137,3,AY,1,100,-0.003
1709872316.116751,744037.000,56137,3,AY,1,100,-0.003
1709872316.156750,744077.000,56156,2,AY,1,100,-0.006
1709872316.196750,744117.000,56156,2,AY,1,100,-0.013
1709872316.236749,744157.000,56173,3,AY,1,100,-0.012
1709872316.276748,744197.000,56173,3,AY,1,100,-0.008
1709872316.316747,744237.000,56173,3,AY,1,100,-0.004
1709872316.356747,744277.000,56188,2,AY,1,100,-0.003
1709872316.396746,744317.000,56188,2,AY,1,100,-0.010
1709872316.436745,744357.000,56204,3,AY,1,100,-0.008
1709872316.476745,744397.000,56204,3,AY,1,100,-0.012
1709872316.516744,744437.000,56204,3,AY,1,100,-0.010
1709872316.556743,744477.000,56224,2,AY,1,100,-0.006
1709872316.596742,744517.000,56224,2,AY,1,100,-0.007
1709872316.636742,744557.000,56240,3,AY,1,100,-0.002
1709872316.676741,744597.000,56240,3,AY,1,100,-0.003
1709872316.716740,744637.000,56240,3,AY,1,100,-0.007
1709872316.752406,744672.667,56255,3,AY,1,100,-0.010
1709872316.788072,744708.333,56255,3,AY,1,100,-0.005
1709872316.823738,744744.000,56255,3,AY,1,100,-0.009
1709872316.863738,744784.000,56274,2,AY,1,100,-0.011
1709872316.903737,744824.000,56274,2,AY,1,100,-0.008
1709872316.943736,744864.000,56291,3,AY,1,100,-0.007
1709872316.983736,744904.000,56291,3,AY,1,100,-0.004
1709872317.023735,744944.000,56291,3,AY,1,100,-0.005
1709872317.063734,744984.000,56307,2,AY,1,100,-0.006
1709872317.103733,745024.000,56307,2,AY,1,100,-0.009
1709872317.143733,745064.000,56323,3,AY,1,100,-0.009
1709872317.183732,745104.000,56323,3,AY,1,100,-0.006
1709872317.223731,745144.000,56323,3,AY,1,100,-0.006
1709872317.263731,745184.000,56339,2,AY,1,100,-0.004
1709872317.303730,745224.000,56339,2,AY,1,100,-0.008
1709872317.343729,745264.000,56356,3,AY,1,100,-0.012
1709872317.383728,745304.000,56356,3,AY,1,100,-0.007
1709872317.423728,745344.000,56356,3,AY,1,100,-0.011
1709872317.463727,745384.000,56372,2,AY,1,100,-0.005
1709872317.503726,745424.000,56372,2,AY,1,100,-0.004
1709872317.543725,745464.000,56390,3,AY,1,100,-0.001
1709872317.583725,745504.000,56390,3,AY,1,100,-0.010
1709872317.623724,745544.000,56390,3,AY,1,100,-0.013
1709872317.663723,745584.000,56404,2,AY,1,100,-0.007
1709872317.703722,745624.000,56404,2,AY,1,100,-0.004
1709872317.743722,745664.000,56421,3,AY,1,100,0.000
1709872317.783721,745704.000,56421,3,AY,1,100,-0.006
1709872317.823720,745744.000,56421,3,AY,1,100,-0.012
1709872317.863720,745784.000,56438,3,AY,1,100,-0.009
1709872317.903719,745824.000,56438,3,AY,1,100,-0.009
1709872317.943718,745864.000,56438,3,AY,1,100,-0.004
1709872317.983717,745904.000,56455,2,AY,1,100,-0.003
1709872318.023717,745944.000,56455,2,AY,1,100,0.000
1709872318.063716,745984.000,56469,3,AY,1,100,-0.006
1709872318.103715,746024.000,56469,3,AY,1,100,-0.010
1709872318.143715,746064.000,56469,3,AY,1,100,-0.010
1709872318.183714,746104.000,56489,2,AY,1,100,-0.010
1709872318.223713,746144.000,56489,2,AY,1,100,-0.007
1709872318.263712,746184.000,56505,3,AY,1,100,-0.005
