LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1709872305.118948,733039.000,54342,3,AX,1,100,0.330
1709872305.158947,733079.000,54358,2,AX,1,100,0.329
1709872305.198947,733119.000,54358,2,AX,1,100,0.328
1709872305.238946,733159.000,54376,3,AX,1,100,0.328
1709872305.278945,733199.000,54376,3,AX,1,100,0.324
1709872305.318945,733239.000,54376,3,AX,1,100,0.324
1709872305.358944,733279.000,54393,2,AX,1,100,0.327
1709872305.398943,733319.000,54393,2,AX,1,100,0.329
1709872305.438942,733359.000,54409,3,AX,1,100,0.333
1709872305.478942,733399.000,54409,3,AX,1,100,0.328
1709872305.518941,733439.000,54409,3,AX,1,100,0.327
1709872305.554274,733474.333,54427,3,AX,1,100,0.332
1709872305.589607,733509.667,54427,3,AX,1,100,0.328
1709872305.624939,733545.000,54427,3,AX,1,100,0.323
1709872305.664938,733585.000,54441,2,AX,1,100,0.327
1709872305.704938,733625.000,54441,2,AX,1,100,0.321
1709872305.744937,733665.000,54458,3,AX,1,100,0.324
1709872305.784936,733705.000,54458,3,AX,1,100,0.325
1709872305.824936,733745.000,54458,3,AX,1,100,0.330
1709872305.864935,733785.000,54475,3,AX,1,100,0.338
1709872305.904934,733825.000,54475,3,AX,1,100,0.319
1709872305.944933,733865.000,54475,3,AX,1,100,0.334
1709872305.984933,733905.000,54492,2,AX,1,100,0.330
1709872306.024932,733945.000,54492,2,AX,1,100,0.322
1709872306.064931,733985.000,54506,3,AX,1,100,0.336
1709872306.104931,734025.000,54506,3,AX,1,100,0.324
1709872306.144930,734065.000,54506,3,AX,1,100,0.325
1709872306.184929,734105.000,54524,2,AX,1,100,0.328
1709872306.224928,734145.000,54524,2,AX,1,100,0.323
1709872306.264928,734185.000,54540,3,AX,1,100,0.325
1709872306.304927,734225.000,54540,3,AX,1,100,0.328
1709872306.344926,734265.000,54540,3,AX,1,100,0.326
1709872306.384926,734305.000,54557,2,AX,1,100,0.327
1709872306.424925,734345.000,54557,2,AX,1,100,0.329
1709872306.464924,734385.000,54571,3,AX,1,100,0.327
1709872306.504923,734425.000,54571,3,AX,1,100,0.329
1709872306.544923,734465.000,54571,3,AX,1,100,0.331
1709872306.584422,734504.500,54589,2,AX,1,100,0.331
1709872306.623921,734544.000,54589,2,AX,1,100,0.327
1709872306.663921,734584.000,54605,3,AX,1,100,0.324
1709872306.703920,734624.000,54605,3,AX,1,100,0.327
1709872306.743919,734664.000,54605,3,AX,1,100,0.333
1709872306.783918,734704.000,54622,2,AX,1,100,0.330
1709872306.823918,734744.000,54622,2,AX,1,100,0.330
1709872306.863917,734784.000,54637,3,AX,1,100,0.331
1709872306.903916,734824.000,54637,3,AX,1,100,0.331
1709872306.943916,734864.000,54637,3,AX,1,100,0.329
1709872306.984248,734904.333,54654,3,AX,1,100,0.329
1709872307.024581,734944.667,54654,3,AX,1,100,0.326
1709872307.064913,734985.000,54654,3,AX,1,100,0.330
1709872307.104413,735024.500,54670,2,AX,1,100,0.328
1709872307.143912,735064.000,54670,2,AX,1,100,0.328
1709872307.184245,735104.333,54688,3,AX,1,100,0.329
1709872307.224577,735144.667,54688,3,AX,1,100,0.329
1709872307.264910,735185.000,54688,3,AX,1,100,0.331
1709872307.304409,735224.500,54703,2,AX,1,100,0.327
1709872307.343908,735264.000,54703,2,AX,1,100,0.330
1709872307.383908,735304.000,54721,3,AX,1,100,0.336
1709872307.423907,735344.000,54721,3,AX,1,100,0.331
1709872307.463906,735384.000,54721,3,AX,1,100,0.329
1709872307.499572,735419.667,54737,3,AX,1,100,0.331
1709872307.535238,735455.333,54737,3,AX,1,100,0.329
1709872307.570904,735491.000,54737,3,AX,1,100,0.328
1709872307.610904,735531.000,54755,2,AX,1,100,0.328
1709872307.650903,735571.000,54755,2,AX,1,100,0.330
1709872307.690902,735611.000,54771,3,AX,1,100,0.328
1709872307.730901,735651.000,54771,3,AX,1,100,0.330
1709872307.770901,735691.000,54771,3,AX,1,100,0.330
1709872307.810900,735731.000,54786,2,AX,1,100,0.333
1709872307.850899,735771.000,54786,2,AX,1,100,0.335
1709872307.890898,735811.000,54803,3,AX,1,100,0.333
1709872307.930898,735851.000,54803,3,AX,1,100,0.328
1709872307.970897,735891.000,54803,3,AX,1,100,0.326
1709872308.010896,735931.000,54820,2,AX,1,100,0.328
1709872308.050896,735971.000,54820,2,AX,1,100,0.329
1709872308.090895,736011.000,54838,3,AX,1,100,0.331
1709872308.130894,736051.000,54838,3,AX,1,100,0.334
1709872308.170893,736091.000,54838,3,AX,1,100,0.327
1709872308.210893,736131.000,54854,2,AX,1,100,0.329
1709872308.250892,736171.000,54854,2,AX,1,100,0.330
1709872308.291225,736211.333,54870,3,AX,1,100,0.334
1709872308.331557,736251.667,54870,3,AX,1,100,0.334
1709872308.371890,736292.000,54870,3,AX,1,100,0.331
1709872308.411889,736332.000,54889,2,AX,1,100,0.333
1709872308.451889,736372.000,54889,2,AX,1,100,0.333
1709872308.491888,736412.000,54912,5,AX,1,100,0.333
1709872308.531887,736452.000,54912,5,AX,1,100,0.332
1709872308.571886,736492.000,54912,5,AX,1,100,0.330
1709872308.611886,736532.000,54912,5,AX,1,100,0.326
1709872308.651885,736572.000,54912,5,AX,1,100,0.328
1709872308.691884,736612.000,54928,2,AX,1,100,0.326
1709872308.731884,736652.000,54928,2,AX,1,100,0.330
1709872308.771883,736692.000,54945,3,AX,1,100,0.323
1709872308.811882,736732.000,54945,3,AX,1,100,0.334
1709872308.851881,736772.000,54945,3,AX,1,100,0.328
1709872308.891881,736812.000,54963,2,AX,1,100,0.335
1709872308.931880,736852.000,54963,2,AX,1,100,0.322
1709872308.971879,736892.000,54979,3,AX,1,100,0.326
1709872309.011878,736932.000,54979,3,AX,1,100,0.321
