LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709872408.025103,835947,5729,1,SR,1,100,0.200000
1709872408.891087,836813,5877,1,SR,1,100,0.200000
1709872409.225081,837147,5911,1,SR,1,100,0.066667
1709872409.558075,837480,6012,1,SR,1,100,0.333333
1709872410.291062,838213,6146,1,SR,1,100,0.400000
1709872411.425042,839347,6265,1,SR,1,100,0.066667
1709872411.625038,839547,6299,1,SR,1,100,0.133333
1709872411.891033,839813,6335,1,SR,1,100,0.066667
1709872412.091030,840013,6368,1,SR,1,100,0.066667
1709872412.291026,840213,6421,1,SR,1,100,0.133333
1709872412.691019,840613,6488,1,SR,1,100,0.133333
1709872413.091012,841013,6570,1,SR,1,100,0.200000
1709872413.424006,841346,6654,1,SR,1,100,0.400000
1709872414.757982,842680,6852,1,SR,1,100,0.333333
1709872416.024959,843947,7057,1,SR,1,100,0.266667
1709872416.423952,844346,7126,1,SR,1,100,0.333333
1709872416.890944,844813,7210,1,SR,1,100,0.333333
1709872417.756928,845679,7409,1,SR,1,100,0.666667
1709872418.556914,846479,7444,1,SR,1,100,0.133333
1709872419.223902,847146,7579,1,SR,1,100,0.266667
1709872419.756892,847679,7662,1,SR,1,100,0.200000
1709872420.089886,848012,7699,1,SR,1,100,0.066667
1709872420.289883,848212,7749,1,SR,1,100,0.200000
1709872420.889872,848812,7875,1,SR,1,100,0.333333
1709872421.357864,849280,7925,1,SR,1,100,0.200000
1709872421.689858,849612,7975,1,SR,1,100,0.133333
1709872422.222848,850145,8076,1,SR,1,100,0.200000
1709872422.557842,850480,8175,1,SR,1,100,0.466667
1709872423.156832,851079,8227,1,SR,1,100,0.200000
1709872423.622823,851545,8294,1,SR,1,100,0.133333
1709872424.022816,851945,8361,1,SR,1,100,0.133333
1709872424.290811,852213,8430,1,SR,1,100,0.333333
1709872425.156796,853079,8548,1,SR,1,100,0.133333
1709872425.422791,853345,8583,1,SR,1,100,0.066667
1709872425.756785,853679,8684,1,SR,1,100,0.333333
1709872426.356774,854279,8743,1,SR,1,100,0.066667
1709872426.555770,854478,8777,1,SR,1,100,0.066667
1709872426.755767,854678,8812,1,SR,1,100,0.066667
1709872426.955763,854878,8847,1,SR,1,100,0.066667
1709872427.155760,855078,8899,1,SR,1,100,0.200000
1709872427.489754,855412,8966,1,SR,1,100,0.333333
1709872427.955745,855878,9000,1,SR,1,100,0.066667
