LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709872305.758937,733679.000,54453,3,PG,1,100,14378
1709872305.798936,733719.000,54453,3,PG,1,100,14386
1709872305.838935,733759.000,54453,3,PG,1,100,14392
1709872305.878935,733799.000,54470,2,PG,1,100,14371
1709872305.918934,733839.000,54470,2,PG,1,100,14374
1709872305.958933,733879.000,54487,3,PG,1,100,14394
1709872305.998932,733919.000,54487,3,PG,1,100,14390
1709872306.038932,733959.000,54487,3,PG,1,100,14385
1709872306.078931,733999.000,54503,2,PG,1,100,14382
1709872306.118930,734039.000,54503,2,PG,1,100,14386
1709872306.158930,734079.000,54519,3,PG,1,100,14396
1709872306.198929,734119.000,54519,3,PG,1,100,14399
1709872306.238928,734159.000,54519,3,PG,1,100,14378
1709872306.278928,734199.000,54535,2,PG,1,100,14381
1709872306.318927,734239.000,54535,2,PG,1,100,14376
1709872306.358926,734279.000,54552,3,PG,1,100,14384
1709872306.398925,734319.000,54552,3,PG,1,100,14370
1709872306.438925,734359.000,54552,3,PG,1,100,14364
1709872306.478924,734399.000,54568,2,PG,1,100,14362
1709872306.518923,734439.000,54568,2,PG,1,100,14372
1709872306.558589,734478.667,54584,3,PG,1,100,14367
1709872306.598255,734518.333,54584,3,PG,1,100,14368
1709872306.637921,734558.000,54584,3,PG,1,100,14389
1709872306.677920,734598.000,54600,3,PG,1,100,14384
1709872306.717920,734638.000,54600,3,PG,1,100,14369
1709872306.757919,734678.000,54600,3,PG,1,100,14359
1709872306.797918,734718.000,54617,2,PG,1,100,14370
1709872306.837917,734758.000,54617,2,PG,1,100,14366
1709872306.877917,734798.000,54634,3,PG,1,100,14366
1709872306.917916,734838.000,54634,3,PG,1,100,14371
1709872306.957915,734878.000,54634,3,PG,1,100,14371
1709872306.997915,734918.000,54649,2,PG,1,100,14358
1709872307.037914,734958.000,54649,2,PG,1,100,14355
1709872307.077913,734998.000,54665,3,PG,1,100,14345
1709872307.117912,735038.000,54665,3,PG,1,100,14340
1709872307.157912,735078.000,54665,3,PG,1,100,14343
1709872307.197911,735118.000,54683,2,PG,1,100,14338
1709872307.237910,735158.000,54683,2,PG,1,100,14345
1709872307.277910,735198.000,54699,3,PG,1,100,14338
1709872307.317909,735238.000,54699,3,PG,1,100,14335
1709872307.357908,735278.000,54699,3,PG,1,100,14351
1709872307.397907,735318.000,54717,2,PG,1,100,14349
1709872307.437907,735358.000,54717,2,PG,1,100,14339
1709872307.477906,735398.000,54732,3,PG,1,100,14358
1709872307.517905,735438.000,54732,3,PG,1,100,14348
1709872307.557904,735478.000,54732,3,PG,1,100,14339
1709872307.597904,735518.000,54750,2,PG,1,100,14348
1709872307.637903,735558.000,54750,2,PG,1,100,14335
1709872307.677902,735598.000,54766,3,PG,1,100,14328
1709872307.717902,735638.000,54766,3,PG,1,100,14338
1709872307.757901,735678.000,54766,3,PG,1,100,14335
