LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1706146409.436191,1524045.000,55295,3,AX,1,100,0.162
1706146409.476191,1524085.000,55295,3,AX,1,100,0.162
1706146409.516191,1524125.000,55312,2,AX,1,100,0.166
1706146409.556191,1524165.000,55312,2,AX,1,100,0.159
1706146409.596191,1524205.000,55329,3,AX,1,100,0.163
1706146409.636191,1524245.000,55329,3,AX,1,100,0.166
1706146409.676191,1524285.000,55329,3,AX,1,100,0.166
1706146409.716191,1524325.000,55347,2,AX,1,100,0.164
1706146409.756191,1524365.000,55347,2,AX,1,100,0.166
1706146409.796191,1524405.000,55364,3,AX,1,100,0.164
1706146409.836191,1524445.000,55364,3,AX,1,100,0.163
1706146409.876191,1524485.000,55364,3,AX,1,100,0.161
1706146409.916191,1524525.000,55379,2,AX,1,100,0.163
1706146409.956191,1524565.000,55379,2,AX,1,100,0.161
1706146409.996191,1524605.000,55398,3,AX,1,100,0.159
1706146410.036191,1524645.000,55398,3,AX,1,100,0.163
1706146410.076191,1524685.000,55398,3,AX,1,100,0.160
1706146410.116191,1524725.000,55416,2,AX,1,100,0.162
1706146410.156191,1524765.000,55416,2,AX,1,100,0.167
1706146410.196191,1524805.000,55433,3,AX,1,100,0.170
1706146410.236191,1524845.000,55433,3,AX,1,100,0.173
1706146410.276191,1524885.000,55433,3,AX,1,100,0.166
1706146410.316191,1524925.000,55452,2,AX,1,100,0.161
1706146410.356191,1524965.000,55452,2,AX,1,100,0.158
1706146410.396191,1525005.000,55467,3,AX,1,100,0.169
1706146410.436191,1525045.000,55467,3,AX,1,100,0.171
1706146410.476191,1525085.000,55467,3,AX,1,100,0.161
1706146410.516191,1525125.000,55483,3,AX,1,100,0.166
1706146410.556191,1525165.000,55483,3,AX,1,100,0.163
1706146410.596191,1525205.000,55483,3,AX,1,100,0.156
1706146410.636191,1525245.000,55501,2,AX,1,100,0.164
1706146410.676191,1525285.000,55501,2,AX,1,100,0.172
1706146410.711858,1525320.667,55517,3,AX,1,100,0.166
1706146410.747524,1525356.333,55517,3,AX,1,100,0.165
1706146410.783191,1525392.000,55517,3,AX,1,100,0.153
1706146410.823191,1525432.000,55532,2,AX,1,100,0.164
1706146410.863191,1525472.000,55532,2,AX,1,100,0.166
1706146410.903191,1525512.000,55549,3,AX,1,100,0.169
1706146410.943191,1525552.000,55549,3,AX,1,100,0.165
1706146410.983191,1525592.000,55549,3,AX,1,100,0.163
1706146411.023191,1525632.000,55568,3,AX,1,100,0.162
1706146411.063191,1525672.000,55568,3,AX,1,100,0.167
1706146411.103191,1525712.000,55568,3,AX,1,100,0.165
1706146411.143191,1525752.000,55586,2,AX,1,100,0.158
1706146411.183191,1525792.000,55586,2,AX,1,100,0.163
1706146411.223191,1525832.000,55601,3,AX,1,100,0.162
1706146411.263191,1525872.000,55601,3,AX,1,100,0.166
1706146411.303191,1525912.000,55601,3,AX,1,100,0.165
1706146411.343191,1525952.000,55618,2,AX,1,100,0.159
1706146411.383191,1525992.000,55618,2,AX,1,100,0.162
1706146411.423191,1526032.000,55635,3,AX,1,100,0.163
1706146411.463191,1526072.000,55635,3,AX,1,100,0.160
1706146411.503191,1526112.000,55635,3,AX,1,100,0.163
1706146411.543191,1526152.000,55651,2,AX,1,100,0.161
1706146411.583191,1526192.000,55651,2,AX,1,100,0.163
1706146411.623191,1526232.000,55668,3,AX,1,100,0.161
1706146411.663191,1526272.000,55668,3,AX,1,100,0.163
1706146411.703191,1526312.000,55668,3,AX,1,100,0.169
1706146411.743191,1526352.000,55689,2,AX,1,100,0.163
1706146411.783191,1526392.000,55689,2,AX,1,100,0.161
1706146411.823191,1526432.000,55708,3,AX,1,100,0.161
1706146411.863191,1526472.000,55708,3,AX,1,100,0.161
1706146411.903191,1526512.000,55708,3,AX,1,100,0.171
1706146411.943191,1526552.000,55725,2,AX,1,100,0.166
1706146411.983191,1526592.000,55725,2,AX,1,100,0.165
1706146412.023191,1526632.000,55742,3,AX,1,100,0.161
