LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1701220224.444981,1381714.000,29993,3,MY,1,100,-14
1701220224.484482,1381753.500,30009,2,MY,1,100,-13
1701220224.523983,1381793.000,30009,2,MY,1,100,-13
1701220224.563984,1381833.000,30027,3,MY,1,100,-13
1701220224.603985,1381873.000,30027,3,MY,1,100,-14
1701220224.643986,1381913.000,30027,3,MY,1,100,-13
1701220224.683987,1381953.000,30043,2,MY,1,100,-14
1701220224.723988,1381993.000,30043,2,MY,1,100,-14
1701220224.764322,1382033.333,30058,3,MY,1,100,-13
1701220224.804657,1382073.667,30058,3,MY,1,100,-14
1701220224.844991,1382114.000,30058,3,MY,1,100,-14
1701220224.884992,1382154.000,30075,3,MY,1,100,-13
1701220224.924993,1382194.000,30075,3,MY,1,100,-13
1701220224.964994,1382234.000,30075,3,MY,1,100,-14
1701220225.004495,1382273.500,30092,2,MY,1,100,-12
1701220225.043996,1382313.000,30092,2,MY,1,100,-13
1701220225.083997,1382353.000,30110,3,MY,1,100,-13
1701220225.123998,1382393.000,30110,3,MY,1,100,-14
1701220225.163999,1382433.000,30110,3,MY,1,100,-13
1701220225.204000,1382473.000,30126,2,MY,1,100,-13
1701220225.244001,1382513.000,30126,2,MY,1,100,-13
1701220225.284002,1382553.000,30144,3,MY,1,100,-13
1701220225.324003,1382593.000,30144,3,MY,1,100,-13
1701220225.364004,1382633.000,30144,3,MY,1,100,-13
1701220225.404005,1382673.000,30161,2,MY,1,100,-12
1701220225.444006,1382713.000,30161,2,MY,1,100,-13
1701220225.484007,1382753.000,30177,3,MY,1,100,-13
1701220225.524008,1382793.000,30177,3,MY,1,100,-12
1701220225.564009,1382833.000,30177,3,MY,1,100,-13
1701220225.604010,1382873.000,30195,2,MY,1,100,-13
1701220225.644011,1382913.000,30195,2,MY,1,100,-13
1701220225.684012,1382953.000,30209,3,MY,1,100,-14
1701220225.724013,1382993.000,30209,3,MY,1,100,-12
1701220225.764014,1383033.000,30209,3,MY,1,100,-14
1701220225.804015,1383073.000,30226,2,MY,1,100,-13
1701220225.844016,1383113.000,30226,2,MY,1,100,-13
1701220225.879683,1383148.667,30243,3,MY,1,100,-13
1701220225.915351,1383184.333,30243,3,MY,1,100,-13
1701220225.951019,1383220.000,30243,3,MY,1,100,-13
1701220225.991019,1383260.000,30260,3,MY,1,100,-14
1701220226.031020,1383300.000,30260,3,MY,1,100,-13
1701220226.071022,1383340.000,30260,3,MY,1,100,-13
1701220226.111022,1383380.000,30274,2,MY,1,100,-13
1701220226.151024,1383420.000,30274,2,MY,1,100,-13
1701220226.191025,1383460.000,30292,3,MY,1,100,-13
1701220226.231025,1383500.000,30292,3,MY,1,100,-13
1701220226.271027,1383540.000,30292,3,MY,1,100,-13
1701220226.311028,1383580.000,30308,2,MY,1,100,-12
1701220226.351028,1383620.000,30308,2,MY,1,100,-13
1701220226.391030,1383660.000,30327,3,MY,1,100,-13
1701220226.431031,1383700.000,30327,3,MY,1,100,-13
1701220226.471032,1383740.000,30327,3,MY,1,100,-13
1701220226.511033,1383780.000,30341,2,MY,1,100,-12
1701220226.551033,1383820.000,30341,2,MY,1,100,-13
1701220226.591035,1383860.000,30359,3,MY,1,100,-14
1701220226.631036,1383900.000,30359,3,MY,1,100,-13
1701220226.671036,1383940.000,30359,3,MY,1,100,-13
1701220226.711038,1383980.000,30375,3,MY,1,100,-13
1701220226.751039,1384020.000,30375,3,MY,1,100,-13
1701220226.791039,1384060.000,30375,3,MY,1,100,-13
1701220226.831041,1384100.000,30392,2,MY,1,100,-13
1701220226.871042,1384140.000,30392,2,MY,1,100,-13
1701220226.911376,1384180.333,30407,3,MY,1,100,-13
1701220226.951710,1384220.667,30407,3,MY,1,100,-13
1701220226.992045,1384261.000,30407,3,MY,1,100,-13
1701220227.032046,1384301.000,30424,2,MY,1,100,-14
1701220227.072047,1384341.000,30424,2,MY,1,100,-14
1701220227.111714,1384380.667,30440,3,MY,1,100,-13
1701220227.151382,1384420.333,30440,3,MY,1,100,-13
1701220227.191050,1384460.000,30440,3,MY,1,100,-13
1701220227.231051,1384500.000,30458,2,MY,1,100,-12
1701220227.271052,1384540.000,30458,2,MY,1,100,-13
1701220227.311053,1384580.000,30473,3,MY,1,100,-12
1701220227.351054,1384620.000,30473,3,MY,1,100,-13
1701220227.391055,1384660.000,30473,3,MY,1,100,-13
1701220227.431056,1384700.000,30489,2,MY,1,100,-13
1701220227.471057,1384740.000,30489,2,MY,1,100,-13
1701220227.511058,1384780.000,30506,3,MY,1,100,-13
1701220227.551059,1384820.000,30506,3,MY,1,100,-14
1701220227.591060,1384860.000,30506,3,MY,1,100,-13
1701220227.631061,1384900.000,30523,2,MY,1,100,-14
1701220227.671062,1384940.000,30523,2,MY,1,100,-13
1701220227.711063,1384980.000,30539,3,MY,1,100,-13
1701220227.751064,1385020.000,30539,3,MY,1,100,-13
1701220227.791065,1385060.000,30539,3,MY,1,100,-13
1701220227.826399,1385095.333,30554,3,MY,1,100,-14
1701220227.861733,1385130.667,30554,3,MY,1,100,-13
