LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1701220226.071022,1383340.000,30258,3,GZ,1,100,0.244
1701220226.111022,1383380.000,30272,2,GZ,1,100,0.366
1701220226.151024,1383420.000,30272,2,GZ,1,100,0.336
1701220226.191025,1383460.000,30290,3,GZ,1,100,0.336
1701220226.231025,1383500.000,30290,3,GZ,1,100,0.366
1701220226.271027,1383540.000,30290,3,GZ,1,100,0.427
1701220226.311028,1383580.000,30306,2,GZ,1,100,0.488
1701220226.351028,1383620.000,30306,2,GZ,1,100,0.458
1701220226.391030,1383660.000,30325,3,GZ,1,100,0.366
1701220226.431031,1383700.000,30325,3,GZ,1,100,0.336
1701220226.471032,1383740.000,30325,3,GZ,1,100,0.519
1701220226.511033,1383780.000,30339,2,GZ,1,100,0.427
1701220226.551033,1383820.000,30339,2,GZ,1,100,0.458
1701220226.591035,1383860.000,30357,3,GZ,1,100,0.397
1701220226.631036,1383900.000,30357,3,GZ,1,100,0.519
1701220226.671036,1383940.000,30357,3,GZ,1,100,0.854
1701220226.711038,1383980.000,30373,3,GZ,1,100,1.099
1701220226.751039,1384020.000,30373,3,GZ,1,100,0.763
1701220226.791039,1384060.000,30373,3,GZ,1,100,0.580
1701220226.831041,1384100.000,30390,2,GZ,1,100,0.549
1701220226.871042,1384140.000,30390,2,GZ,1,100,0.549
1701220226.911376,1384180.333,30405,3,GZ,1,100,0.519
1701220226.951710,1384220.667,30405,3,GZ,1,100,0.336
1701220226.992045,1384261.000,30405,3,GZ,1,100,0.153
1701220227.032046,1384301.000,30422,2,GZ,1,100,0.366
1701220227.072047,1384341.000,30422,2,GZ,1,100,0.397
1701220227.111714,1384380.667,30438,3,GZ,1,100,0.397
1701220227.151382,1384420.333,30438,3,GZ,1,100,0.244
1701220227.191050,1384460.000,30438,3,GZ,1,100,0.336
1701220227.231051,1384500.000,30456,2,GZ,1,100,0.397
1701220227.271052,1384540.000,30456,2,GZ,1,100,0.427
1701220227.311053,1384580.000,30471,3,GZ,1,100,0.366
1701220227.351054,1384620.000,30471,3,GZ,1,100,0.214
1701220227.391055,1384660.000,30471,3,GZ,1,100,0.305
1701220227.431056,1384700.000,30487,2,GZ,1,100,0.305
1701220227.471057,1384740.000,30487,2,GZ,1,100,0.519
1701220227.511058,1384780.000,30504,3,GZ,1,100,0.397
1701220227.551059,1384820.000,30504,3,GZ,1,100,0.397
1701220227.591060,1384860.000,30504,3,GZ,1,100,0.427
1701220227.631061,1384900.000,30521,2,GZ,1,100,0.397
1701220227.671062,1384940.000,30521,2,GZ,1,100,0.519
1701220227.711063,1384980.000,30537,3,GZ,1,100,0.397
1701220227.751064,1385020.000,30537,3,GZ,1,100,0.427
1701220227.791065,1385060.000,30537,3,GZ,1,100,0.610
1701220227.826399,1385095.333,30552,3,GZ,1,100,0.488
1701220227.861733,1385130.667,30552,3,GZ,1,100,0.610
1701220227.897067,1385166.000,30552,3,GZ,1,100,0.641
1701220227.937068,1385206.000,30571,2,GZ,1,100,0.580
1701220227.977069,1385246.000,30571,2,GZ,1,100,0.458
1701220228.017070,1385286.000,30588,3,GZ,1,100,0.305
1701220228.057071,1385326.000,30588,3,GZ,1,100,0.336
1701220228.097072,1385366.000,30588,3,GZ,1,100,0.366
1701220228.137073,1385406.000,30604,3,GZ,1,100,0.397
