LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1701221181.244756,2338498.000,56521,2,AY,1,100,-0.007
1701221181.284748,2338538.000,56537,3,AY,1,100,-0.006
1701221181.324740,2338578.000,56537,3,AY,1,100,-0.006
1701221181.364732,2338618.000,56537,3,AY,1,100,-0.004
1701221181.404724,2338658.000,56558,2,AY,1,100,-0.003
1701221181.444716,2338698.000,56558,2,AY,1,100,-0.004
1701221181.484708,2338738.000,56573,3,AY,1,100,-0.002
1701221181.524700,2338778.000,56573,3,AY,1,100,-0.005
1701221181.564692,2338818.000,56573,3,AY,1,100,-0.000
1701221181.604684,2338858.000,56590,2,AY,1,100,-0.003
1701221181.644676,2338898.000,56590,2,AY,1,100,-0.008
1701221181.684668,2338938.000,56606,3,AY,1,100,-0.007
1701221181.724660,2338978.000,56606,3,AY,1,100,-0.005
1701221181.764652,2339018.000,56606,3,AY,1,100,-0.007
1701221181.804644,2339058.000,56624,2,AY,1,100,-0.004
1701221181.844636,2339098.000,56624,2,AY,1,100,-0.005
1701221181.884628,2339138.000,56638,3,AY,1,100,-0.005
1701221181.924620,2339178.000,56638,3,AY,1,100,-0.003
1701221181.964612,2339218.000,56638,3,AY,1,100,-0.005
1701221182.004604,2339258.000,56657,3,AY,1,100,-0.003
1701221182.044596,2339298.000,56657,3,AY,1,100,-0.006
1701221182.084589,2339338.000,56657,3,AY,1,100,-0.006
1701221182.124580,2339378.000,56673,2,AY,1,100,-0.006
1701221182.164572,2339418.000,56673,2,AY,1,100,-0.007
1701221182.200232,2339453.667,56691,3,AY,1,100,-0.008
1701221182.235892,2339489.333,56691,3,AY,1,100,-0.006
1701221182.271551,2339525.000,56691,3,AY,1,100,-0.003
1701221182.311543,2339565.000,56706,2,AY,1,100,-0.008
1701221182.351535,2339605.000,56706,2,AY,1,100,-0.007
1701221182.391527,2339645.000,56722,3,AY,1,100,-0.002
1701221182.431519,2339685.000,56722,3,AY,1,100,-0.006
1701221182.471511,2339725.000,56722,3,AY,1,100,-0.004
1701221182.511503,2339765.000,56739,2,AY,1,100,-0.004
1701221182.551495,2339805.000,56739,2,AY,1,100,-0.004
1701221182.591487,2339845.000,56756,3,AY,1,100,-0.006
1701221182.631479,2339885.000,56756,3,AY,1,100,-0.004
1701221182.671471,2339925.000,56756,3,AY,1,100,-0.008
1701221182.711463,2339965.000,56772,3,AY,1,100,-0.009
1701221182.751455,2340005.000,56772,3,AY,1,100,-0.007
