LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1706145187.834596,302447,48934,1,SA,1,100,0.000932
1706145188.300602,302913,48984,1,SA,1,100,0.000463
1706145188.700607,303313,49070,1,SA,1,100,0.000757
1706145189.167613,303780,49160,1,SA,1,100,0.001039
1706145189.900622,304513,49246,1,SA,1,100,0.000176
1706145190.367628,304980,49363,1,SA,1,100,0.000903
1706145190.833634,305446,49399,1,SA,1,100,0.000255
1706145191.433641,306046,49568,1,SA,1,100,0.001217
1706145192.033649,306646,49587,1,SA,1,100,0.000220
1706145192.500655,307113,49689,1,SA,1,100,0.000504
1706145192.766658,307379,49723,1,SA,1,100,0.000200
1706145193.100662,307713,49792,1,SA,1,100,0.000447
1706145193.500667,308113,49876,1,SA,1,100,0.000837
1706145194.433679,309046,50084,1,SA,1,100,0.002368
1706145195.433691,310046,50168,1,SA,1,100,0.000201
1706145195.766695,310379,50219,1,SA,1,100,0.000296
1706145196.166700,310779,50320,1,SA,1,100,0.000935
1706145196.633706,311246,50375,1,SA,1,100,0.000478
1706145197.166713,311779,50492,1,SA,1,100,0.000594
1706145197.566718,312179,50543,1,SA,1,100,0.000493
1706145198.033724,312646,50612,1,SA,1,100,0.000481
1706145198.366728,312979,50663,1,SA,1,100,0.000453
1706145198.900735,313513,50732,1,SA,1,100,0.000136
1706145199.232739,313845,50804,1,SA,1,100,0.000458
1706145199.766746,314379,50876,1,SA,1,100,0.000167
1706145200.099750,314712,50959,1,SA,1,100,0.000748
1706145200.766758,315379,51044,1,SA,1,100,0.000313
1706145201.032761,315645,51097,1,SA,1,100,0.000425
1706145201.432766,316045,51166,1,SA,1,100,0.000360
1706145201.699770,316312,51249,1,SA,1,100,0.000960
1706145202.299777,316912,51320,1,SA,1,100,0.000456
1706145202.565781,317178,51354,1,SA,1,100,0.000128
1706145202.899785,317512,51405,1,SA,1,100,0.000462
1706145203.833797,318446,51556,1,SA,1,100,0.000330
1706145204.299802,318912,51662,1,SA,1,100,0.000780
1706145204.899810,319512,51749,1,SA,1,100,0.000728
1706145205.232814,319845,51798,1,SA,1,100,0.000550
1706145205.632819,320245,51851,1,SA,1,100,0.000300
1706145205.832821,320445,51903,1,SA,1,100,0.000445
1706145206.365828,320978,51986,1,SA,1,100,0.000224
1706145206.699832,321312,52058,1,SA,1,100,0.000494
1706145206.965836,321578,52174,1,SA,1,100,0.001769
1706145207.698845,322311,52243,1,SA,1,100,0.000934
1706145208.232852,322845,52310,1,SA,1,100,0.000446
1706145208.765858,323378,52412,1,SA,1,100,0.000699
1706145209.098862,323711,52431,1,SA,1,100,0.000193
1706145209.298865,323911,52483,1,SA,1,100,0.000325
1706145209.699870,324312,52543,1,SA,1,100,0.000046
1706145210.031874,324644,52610,1,SA,1,100,0.000672
1706145210.632881,325245,52713,1,SA,1,100,0.000475
1706145210.898885,325511,52746,1,SA,1,100,0.000277
1706145211.098887,325711,52782,1,SA,1,100,0.000243
1706145211.432891,326045,52851,1,SA,1,100,0.000720
1706145211.832896,326445,52920,1,SA,1,100,0.000691
1706145212.164901,326777,52990,1,SA,1,100,0.000973
1706145212.564906,327177,53025,1,SA,1,100,0.000365
1706145212.765908,327378,53078,1,SA,1,100,0.000416
1706145213.298915,327911,53177,1,SA,1,100,0.000779
1706145213.831922,328444,53262,1,SA,1,100,0.000639
1706145214.165926,328778,53298,1,SA,1,100,0.000214
1706145214.631932,329244,53390,1,SA,1,100,0.000629
1706145215.098937,329711,53489,1,SA,1,100,0.001022
1706145215.697945,330310,53574,1,SA,1,100,0.000584
1706145216.031949,330644,53610,1,SA,1,100,0.000268
1706145216.231951,330844,53643,1,SA,1,100,0.000282
1706145216.431954,331044,53679,1,SA,1,100,0.000460
1706145216.697957,331310,53717,1,SA,1,100,0.000145
1706145217.031961,331644,53817,1,SA,1,100,0.000927
1706145217.697970,332310,53904,1,SA,1,100,0.000263
