LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1706145141.053011,255666.000,41295,3,PG,1,100,4182
1706145141.093012,255706.000,41313,2,PG,1,100,4176
1706145141.133012,255746.000,41313,2,PG,1,100,4175
1706145141.173012,255786.000,41328,3,PG,1,100,4172
1706145141.213013,255826.000,41328,3,PG,1,100,4184
1706145141.253014,255866.000,41328,3,PG,1,100,4175
1706145141.293014,255906.000,41344,2,PG,1,100,4171
1706145141.333014,255946.000,41344,2,PG,1,100,4161
1706145141.373015,255986.000,41361,3,PG,1,100,4168
1706145141.413016,256026.000,41361,3,PG,1,100,4144
1706145141.453016,256066.000,41361,3,PG,1,100,4145
1706145141.493016,256106.000,41378,2,PG,1,100,4158
1706145141.533017,256146.000,41378,2,PG,1,100,4137
1706145141.573018,256186.000,41393,3,PG,1,100,4161
1706145141.613018,256226.000,41393,3,PG,1,100,4165
1706145141.653018,256266.000,41393,3,PG,1,100,4161
1706145141.693019,256306.000,41412,3,PG,1,100,4171
1706145141.733020,256346.000,41412,3,PG,1,100,4162
1706145141.773020,256386.000,41412,3,PG,1,100,4165
1706145141.813020,256426.000,41432,2,PG,1,100,4151
1706145141.853021,256466.000,41432,2,PG,1,100,4163
1706145141.893022,256506.000,41449,3,PG,1,100,4185
1706145141.933022,256546.000,41449,3,PG,1,100,4181
1706145141.973022,256586.000,41449,3,PG,1,100,4172
1706145142.013023,256626.000,41465,2,PG,1,100,4174
1706145142.053024,256666.000,41465,2,PG,1,100,4186
1706145142.093024,256706.000,41481,3,PG,1,100,4190
1706145142.133024,256746.000,41481,3,PG,1,100,4180
1706145142.173025,256786.000,41481,3,PG,1,100,4183
1706145142.213026,256826.000,41497,3,PG,1,100,4178
1706145142.253026,256866.000,41497,3,PG,1,100,4165
1706145142.293026,256906.000,41497,3,PG,1,100,4167
1706145142.333027,256946.000,41514,2,PG,1,100,4155
1706145142.373028,256986.000,41514,2,PG,1,100,4158
1706145142.413028,257026.000,41531,3,PG,1,100,4156
1706145142.453028,257066.000,41531,3,PG,1,100,4172
1706145142.493029,257106.000,41531,3,PG,1,100,4181
1706145142.533030,257146.000,41547,2,PG,1,100,4161
1706145142.573030,257186.000,41547,2,PG,1,100,4158
1706145142.613030,257226.000,41562,3,PG,1,100,4174
1706145142.653031,257266.000,41562,3,PG,1,100,4165
