LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1706145164.902309,279515,45187,1,SR,1,100,0.200000
1706145165.236314,279849,45236,1,SR,1,100,0.133333
1706145165.769320,280382,45357,1,SR,1,100,0.333333
1706145166.236326,280849,45390,1,SR,1,100,0.133333
1706145166.902334,281515,45529,1,SR,1,100,0.266667
1706145167.436341,282049,45579,1,SR,1,100,0.066667
1706145167.903347,282516,45730,1,SR,1,100,0.466667
1706145168.502354,283115,45759,1,SR,1,100,0.066667
1706145168.969360,283582,45893,1,SR,1,100,0.400000
1706145170.036374,284649,46044,1,SR,1,100,0.266667
1706145170.436379,285049,46096,1,SR,1,100,0.200000
1706145171.302389,285915,46232,1,SR,1,100,0.200000
1706145171.635394,286248,46284,1,SR,1,100,0.133333
1706145172.035399,286648,46337,1,SR,1,100,0.066667
1706145172.368403,286981,46422,1,SR,1,100,0.200000
1706145172.835409,287448,46474,1,SR,1,100,0.066667
1706145173.035411,287648,46541,1,SR,1,100,0.200000
1706145173.635419,288248,46650,1,SR,1,100,0.333333
1706145174.636431,289249,46767,1,SR,1,100,0.066667
1706145174.835434,289448,46803,1,SR,1,100,0.066667
1706145175.035436,289648,46839,1,SR,1,100,0.066667
1706145175.235439,289848,46892,1,SR,1,100,0.200000
1706145175.701444,290314,46975,1,SR,1,100,0.200000
1706145176.302452,290915,47076,1,SR,1,100,0.266667
1706145176.702457,291315,47147,1,SR,1,100,0.266667
1706145177.235464,291848,47199,1,SR,1,100,0.066667
1706145177.435466,292048,47250,1,SR,1,100,0.133333
1706145177.701469,292314,47319,1,SR,1,100,0.266667
1706145178.101475,292714,47354,1,SR,1,100,0.133333
1706145178.368478,292981,47376,1,SR,1,100,0.066667
1706145178.701482,293314,47401,1,SR,1,100,0.066667
1706145178.901484,293514,47403,1,SR,1,100,0.066667
1706145179.234489,293847,47472,1,SR,1,100,0.066667
1706145179.434491,294047,47571,1,SR,1,100,0.466667
1706145180.034499,294647,47641,1,SR,1,100,0.266667
