LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1706145144.559055,259172.000,41884,3,GY,1,100,1.129
1706145144.599055,259212.000,41884,3,GY,1,100,0.458
1706145144.639056,259252.000,41884,3,GY,1,100,-0.214
1706145144.679056,259292.000,41899,2,GY,1,100,0.000
1706145144.719057,259332.000,41899,2,GY,1,100,2.319
1706145144.759057,259372.000,41916,3,GY,1,100,4.242
1706145144.799058,259412.000,41916,3,GY,1,100,1.587
1706145144.839058,259452.000,41916,3,GY,1,100,-1.282
1706145144.879059,259492.000,41933,2,GY,1,100,-2.411
1706145144.919059,259532.000,41933,2,GY,1,100,0.397
1706145144.959060,259572.000,41949,3,GY,1,100,1.099
1706145144.999060,259612.000,41949,3,GY,1,100,-0.336
1706145145.039061,259652.000,41949,3,GY,1,100,-1.923
1706145145.079062,259692.000,41965,2,GY,1,100,-1.282
1706145145.119062,259732.000,41965,2,GY,1,100,2.319
1706145145.159062,259772.000,41981,3,GY,1,100,-1.556
1706145145.199063,259812.000,41981,3,GY,1,100,1.404
1706145145.239064,259852.000,41981,3,GY,1,100,-0.488
1706145145.279064,259892.000,41998,3,GY,1,100,-0.885
1706145145.319064,259932.000,41998,3,GY,1,100,-1.648
1706145145.359065,259972.000,41998,3,GY,1,100,-0.519
1706145145.399065,260012.000,42015,2,GY,1,100,-0.549
1706145145.439066,260052.000,42015,2,GY,1,100,-0.122
1706145145.479066,260092.000,42030,3,GY,1,100,0.000
1706145145.519067,260132.000,42030,3,GY,1,100,0.031
1706145145.559067,260172.000,42030,3,GY,1,100,0.397
1706145145.599068,260212.000,42048,2,GY,1,100,0.397
1706145145.639068,260252.000,42048,2,GY,1,100,0.610
1706145145.679069,260292.000,42065,3,GY,1,100,0.153
1706145145.719069,260332.000,42065,3,GY,1,100,-0.519
1706145145.759070,260372.000,42065,3,GY,1,100,-0.092
1706145145.799070,260412.000,42082,2,GY,1,100,0.061
1706145145.839071,260452.000,42082,2,GY,1,100,-0.214
1706145145.878738,260491.667,42098,3,GY,1,100,0.275
1706145145.918405,260531.333,42098,3,GY,1,100,0.061
1706145145.958072,260571.000,42098,3,GY,1,100,-0.305
1706145145.998073,260611.000,42113,2,GY,1,100,0.641
1706145146.038073,260651.000,42113,2,GY,1,100,0.610
1706145146.074074,260687.000,42131,3,GY,1,100,-0.031
1706145146.110074,260723.000,42131,3,GY,1,100,0.031
1706145146.146075,260759.000,42131,3,GY,1,100,0.580
1706145146.186075,260799.000,42147,3,GY,1,100,0.336
1706145146.226076,260839.000,42147,3,GY,1,100,-0.214
1706145146.266076,260879.000,42147,3,GY,1,100,0.061
1706145146.306077,260919.000,42164,2,GY,1,100,0.122
1706145146.346077,260959.000,42164,2,GY,1,100,-0.580
1706145146.386078,260999.000,42179,3,GY,1,100,-0.427
1706145146.426078,261039.000,42179,3,GY,1,100,1.709
1706145146.466079,261079.000,42179,3,GY,1,100,1.007
1706145146.506079,261119.000,42196,2,GY,1,100,0.122
1706145146.546080,261159.000,42196,2,GY,1,100,-0.610
1706145146.586080,261199.000,42212,3,GY,1,100,-0.763
1706145146.626081,261239.000,42212,3,GY,1,100,-0.397
1706145146.666081,261279.000,42212,3,GY,1,100,-0.641
1706145146.706082,261319.000,42230,3,GY,1,100,-0.061
1706145146.746082,261359.000,42230,3,GY,1,100,0.671
1706145146.786083,261399.000,42230,3,GY,1,100,1.343
1706145146.826083,261439.000,42247,2,GY,1,100,-0.580
1706145146.866084,261479.000,42247,2,GY,1,100,-0.122
1706145146.906084,261519.000,42265,3,GY,1,100,0.336
1706145146.946085,261559.000,42265,3,GY,1,100,0.153
1706145146.986085,261599.000,42265,3,GY,1,100,-0.305
1706145147.026086,261639.000,42284,3,GY,1,100,0.763
1706145147.066086,261679.000,42284,3,GY,1,100,0.610
1706145147.106087,261719.000,42284,3,GY,1,100,-0.610
1706145147.146087,261759.000,42301,2,GY,1,100,-0.977
1706145147.186088,261799.000,42301,2,GY,1,100,-1.160
1706145147.226088,261839.000,42317,3,GY,1,100,-0.275
1706145147.266089,261879.000,42317,3,GY,1,100,-0.458
1706145147.306089,261919.000,42317,3,GY,1,100,0.732
1706145147.345590,261958.500,42332,2,GY,1,100,-0.214
1706145147.385090,261998.000,42332,2,GY,1,100,-0.488
1706145147.425091,262038.000,42349,3,GY,1,100,0.580
1706145147.465091,262078.000,42349,3,GY,1,100,0.702
1706145147.505092,262118.000,42349,3,GY,1,100,-0.153
1706145147.545092,262158.000,42368,2,GY,1,100,-0.702
1706145147.585093,262198.000,42368,2,GY,1,100,0.366
1706145147.625093,262238.000,42384,3,GY,1,100,-0.244
1706145147.665094,262278.000,42384,3,GY,1,100,0.366
1706145147.705094,262318.000,42384,3,GY,1,100,-0.336
1706145147.745095,262358.000,42400,2,GY,1,100,1.007
1706145147.785095,262398.000,42400,2,GY,1,100,-0.671
1706145147.825096,262438.000,42418,3,GY,1,100,-0.549
1706145147.865096,262478.000,42418,3,GY,1,100,-3.113
1706145147.905097,262518.000,42418,3,GY,1,100,1.190
1706145147.945097,262558.000,42435,2,GY,1,100,-0.641
1706145147.985098,262598.000,42435,2,GY,1,100,-0.397
1706145148.022932,262635.833,42460,6,GY,1,100,-1.099
1706145148.060765,262673.667,42460,6,GY,1,100,1.465
1706145148.098599,262711.500,42460,6,GY,1,100,1.831
1706145148.136433,262749.333,42460,6,GY,1,100,0.427
1706145148.174267,262787.167,42460,6,GY,1,100,0.183
1706145148.212101,262825.000,42460,6,GY,1,100,-1.343
1706145148.252101,262865.000,42476,2,GY,1,100,-0.519
1706145148.292102,262905.000,42476,2,GY,1,100,4.272
1706145148.332102,262945.000,42493,3,GY,1,100,3.723
1706145148.372102,262985.000,42493,3,GY,1,100,1.343
1706145148.412103,263025.000,42493,3,GY,1,100,3.510
1706145148.452104,263065.000,42510,2,GY,1,100,0.977
1706145148.492104,263105.000,42510,2,GY,1,100,0.153
1706145148.532104,263145.000,42525,3,GY,1,100,-1.312
1706145148.572105,263185.000,42525,3,GY,1,100,-0.458
1706145148.612106,263225.000,42525,3,GY,1,100,0.641
1706145148.652106,263265.000,42541,2,GY,1,100,-0.061
1706145148.692106,263305.000,42541,2,GY,1,100,-0.183
1706145148.731774,263344.667,42559,3,GY,1,100,-1.007
1706145148.771441,263384.333,42559,3,GY,1,100,0.366
1706145148.811108,263424.000,42559,3,GY,1,100,0.732
1706145148.851442,263464.333,42577,3,GY,1,100,0.336
1706145148.891776,263504.667,42577,3,GY,1,100,0.275
1706145148.932110,263545.000,42577,3,GY,1,100,1.007
1706145148.972110,263585.000,42596,3,GY,1,100,-0.366
1706145149.012111,263625.000,42596,3,GY,1,100,-0.549
1706145149.052111,263665.000,42596,3,GY,1,100,0.549
1706145149.092112,263705.000,42611,2,GY,1,100,-0.183
1706145149.132112,263745.000,42611,2,GY,1,100,-0.671
1706145149.172113,263785.000,42628,3,GY,1,100,-0.458
1706145149.212113,263825.000,42628,3,GY,1,100,-0.580
1706145149.252114,263865.000,42628,3,GY,1,100,-0.519
1706145149.292114,263905.000,42644,2,GY,1,100,-1.221
1706145149.332115,263945.000,42644,2,GY,1,100,0.031
1706145149.372115,263985.000,42664,3,GY,1,100,0.488
1706145149.412116,264025.000,42664,3,GY,1,100,0.000
1706145149.452116,264065.000,42664,3,GY,1,100,-0.092
1706145149.492117,264105.000,42678,2,GY,1,100,0.366
1706145149.532117,264145.000,42678,2,GY,1,100,0.000
1706145149.571784,264184.667,42697,3,GY,1,100,0.000
1706145149.611451,264224.333,42697,3,GY,1,100,0.427
1706145149.651119,264264.000,42697,3,GY,1,100,0.488
1706145149.691119,264304.000,42713,2,GY,1,100,0.000
1706145149.731120,264344.000,42713,2,GY,1,100,-0.366
1706145149.771120,264384.000,42731,3,GY,1,100,-0.031
1706145149.811121,264424.000,42731,3,GY,1,100,0.305
1706145149.851121,264464.000,42731,3,GY,1,100,-0.061
1706145149.891122,264504.000,42745,2,GY,1,100,-0.183
1706145149.931122,264544.000,42745,2,GY,1,100,0.519
