LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1709251383.909162,1312455.000,22458,3,MZ,1,100,31
1709251383.949161,1312495.000,22458,3,MZ,1,100,31
1709251383.989159,1312535.000,22475,2,MZ,1,100,31
1709251384.029158,1312575.000,22475,2,MZ,1,100,31
1709251384.069157,1312615.000,22491,3,MZ,1,100,31
1709251384.109155,1312655.000,22491,3,MZ,1,100,31
1709251384.149154,1312695.000,22491,3,MZ,1,100,30
1709251384.189152,1312735.000,22509,2,MZ,1,100,31
1709251384.229151,1312775.000,22509,2,MZ,1,100,31
1709251384.269150,1312815.000,22523,3,MZ,1,100,31
1709251384.309148,1312855.000,22523,3,MZ,1,100,31
1709251384.349147,1312895.000,22523,3,MZ,1,100,31
1709251384.389146,1312935.000,22540,2,MZ,1,100,30
1709251384.429144,1312975.000,22540,2,MZ,1,100,30
1709251384.469143,1313015.000,22559,3,MZ,1,100,30
1709251384.509141,1313055.000,22559,3,MZ,1,100,32
1709251384.549140,1313095.000,22559,3,MZ,1,100,30
1709251384.589139,1313135.000,22578,3,MZ,1,100,31
1709251384.629137,1313175.000,22578,3,MZ,1,100,30
1709251384.669136,1313215.000,22578,3,MZ,1,100,30
1709251384.709135,1313255.000,22593,2,MZ,1,100,30
1709251384.749133,1313295.000,22593,2,MZ,1,100,30
1709251384.789132,1313335.000,22610,3,MZ,1,100,31
1709251384.829130,1313375.000,22610,3,MZ,1,100,31
1709251384.869129,1313415.000,22610,3,MZ,1,100,30
1709251384.909127,1313455.000,22632,4,MZ,1,100,31
1709251384.949126,1313495.000,22632,4,MZ,1,100,31
1709251384.989125,1313535.000,22632,4,MZ,1,100,31
1709251385.029123,1313575.000,22632,4,MZ,1,100,31
1709251385.069122,1313615.000,22648,2,MZ,1,100,30
1709251385.109121,1313655.000,22648,2,MZ,1,100,31
1709251385.149119,1313695.000,22666,3,MZ,1,100,31
1709251385.189118,1313735.000,22666,3,MZ,1,100,31
1709251385.229116,1313775.000,22666,3,MZ,1,100,30
1709251385.269115,1313815.000,22682,2,MZ,1,100,31
1709251385.309114,1313855.000,22682,2,MZ,1,100,31
1709251385.349112,1313895.000,22700,3,MZ,1,100,30
1709251385.389111,1313935.000,22700,3,MZ,1,100,31
1709251385.429110,1313975.000,22700,3,MZ,1,100,31
1709251385.469108,1314015.000,22716,2,MZ,1,100,32
1709251385.509107,1314055.000,22716,2,MZ,1,100,31
1709251385.549105,1314095.000,22733,3,MZ,1,100,31
1709251385.589104,1314135.000,22733,3,MZ,1,100,31
1709251385.629103,1314175.000,22733,3,MZ,1,100,31
1709251385.664435,1314210.333,22749,3,MZ,1,100,31
1709251385.699767,1314245.667,22749,3,MZ,1,100,30
1709251385.735099,1314281.000,22749,3,MZ,1,100,31
1709251385.775098,1314321.000,22767,2,MZ,1,100,30
1709251385.815096,1314361.000,22767,2,MZ,1,100,31
1709251385.855095,1314401.000,22781,3,MZ,1,100,30
1709251385.895093,1314441.000,22781,3,MZ,1,100,30
1709251385.935092,1314481.000,22781,3,MZ,1,100,32
1709251385.975091,1314521.000,22798,2,MZ,1,100,31
1709251386.015089,1314561.000,22798,2,MZ,1,100,30
1709251386.055088,1314601.000,22814,3,MZ,1,100,31
1709251386.095087,1314641.000,22814,3,MZ,1,100,30
1709251386.135085,1314681.000,22814,3,MZ,1,100,31
1709251386.175084,1314721.000,22832,2,MZ,1,100,31
1709251386.215082,1314761.000,22832,2,MZ,1,100,30
1709251386.255081,1314801.000,22846,3,MZ,1,100,30
1709251386.295080,1314841.000,22846,3,MZ,1,100,29
1709251386.335078,1314881.000,22846,3,MZ,1,100,31
1709251386.374743,1314920.667,22863,3,MZ,1,100,31
1709251386.414409,1314960.333,22863,3,MZ,1,100,30
1709251386.454074,1315000.000,22863,3,MZ,1,100,30
1709251386.494073,1315040.000,22882,2,MZ,1,100,29
1709251386.534071,1315080.000,22882,2,MZ,1,100,31
