LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1706145449.928620,564541.000,26966,3,GY,1,100,-0.488
1706145449.964287,564576.667,26983,3,GY,1,100,-0.549
1706145449.999954,564612.333,26983,3,GY,1,100,-0.610
1706145450.035621,564648.000,26983,3,GY,1,100,1.251
1706145450.075621,564688.000,27000,2,GY,1,100,1.038
1706145450.115622,564728.000,27000,2,GY,1,100,0.702
1706145450.155622,564768.000,27022,4,GY,1,100,0.916
1706145450.195622,564808.000,27022,4,GY,1,100,0.854
1706145450.235623,564848.000,27022,4,GY,1,100,0.214
1706145450.275623,564888.000,27022,4,GY,1,100,0.763
1706145450.315623,564928.000,27038,2,GY,1,100,0.122
1706145450.355624,564968.000,27038,2,GY,1,100,0.458
1706145450.395624,565008.000,27056,3,GY,1,100,0.275
1706145450.435624,565048.000,27056,3,GY,1,100,0.488
1706145450.475625,565088.000,27056,3,GY,1,100,-0.824
1706145450.515625,565128.000,27070,2,GY,1,100,-1.526
1706145450.555625,565168.000,27070,2,GY,1,100,-0.061
1706145450.595626,565208.000,27087,3,GY,1,100,0.397
1706145450.635626,565248.000,27087,3,GY,1,100,0.122
1706145450.675626,565288.000,27087,3,GY,1,100,-0.214
1706145450.715627,565328.000,27104,2,GY,1,100,-0.519
1706145450.755627,565368.000,27104,2,GY,1,100,-0.244
1706145450.795627,565408.000,27121,3,GY,1,100,-0.122
1706145450.835628,565448.000,27121,3,GY,1,100,-0.610
1706145450.875628,565488.000,27121,3,GY,1,100,-0.671
1706145450.915628,565528.000,27135,2,GY,1,100,0.000
1706145450.955629,565568.000,27135,2,GY,1,100,-0.244
1706145450.995629,565608.000,27153,3,GY,1,100,-0.244
1706145451.035630,565648.000,27153,3,GY,1,100,0.183
1706145451.075630,565688.000,27153,3,GY,1,100,0.000
1706145451.115630,565728.000,27169,3,GY,1,100,0.183
1706145451.155631,565768.000,27169,3,GY,1,100,-0.610
1706145451.195631,565808.000,27169,3,GY,1,100,0.549
1706145451.235631,565848.000,27186,2,GY,1,100,0.000
1706145451.275631,565888.000,27186,2,GY,1,100,0.183
1706145451.315632,565928.000,27202,3,GY,1,100,-0.702
1706145451.355632,565968.000,27202,3,GY,1,100,-0.519
1706145451.395633,566008.000,27202,3,GY,1,100,-0.183
1706145451.435633,566048.000,27220,2,GY,1,100,0.336
1706145451.475633,566088.000,27220,2,GY,1,100,0.092
1706145451.515634,566128.000,27236,3,GY,1,100,-0.122
1706145451.555634,566168.000,27236,3,GY,1,100,-0.977
1706145451.595634,566208.000,27236,3,GY,1,100,0.244
1706145451.635635,566248.000,27253,2,GY,1,100,0.793
1706145451.675635,566288.000,27253,2,GY,1,100,0.977
1706145451.715635,566328.000,27272,3,GY,1,100,0.610
1706145451.755635,566368.000,27272,3,GY,1,100,0.275
1706145451.795636,566408.000,27272,3,GY,1,100,-0.244
1706145451.830970,566443.333,27287,3,GY,1,100,-0.458
1706145451.866303,566478.667,27287,3,GY,1,100,-0.885
1706145451.901637,566514.000,27287,3,GY,1,100,-1.617
1706145451.941637,566554.000,27303,2,GY,1,100,-0.183
1706145451.981637,566594.000,27303,2,GY,1,100,0.549
1706145452.021638,566634.000,27321,3,GY,1,100,0.946
