LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1706146194.137005,1308747.000,20158,3,AZ,1,100,0.974
1706146194.177004,1308787.000,20173,2,AZ,1,100,0.958
1706146194.217004,1308827.000,20173,2,AZ,1,100,0.975
1706146194.252337,1308862.333,20190,3,AZ,1,100,0.965
1706146194.287669,1308897.667,20190,3,AZ,1,100,0.976
1706146194.323003,1308933.000,20190,3,AZ,1,100,0.971
1706146194.363002,1308973.000,20207,3,AZ,1,100,0.967
1706146194.403002,1309013.000,20207,3,AZ,1,100,0.965
1706146194.443001,1309053.000,20207,3,AZ,1,100,0.975
1706146194.483001,1309093.000,20223,2,AZ,1,100,0.968
1706146194.523000,1309133.000,20223,2,AZ,1,100,0.971
1706146194.563000,1309173.000,20238,3,AZ,1,100,0.972
1706146194.602999,1309213.000,20238,3,AZ,1,100,0.971
1706146194.642999,1309253.000,20238,3,AZ,1,100,0.970
1706146194.682998,1309293.000,20257,2,AZ,1,100,0.969
1706146194.722998,1309333.000,20257,2,AZ,1,100,0.970
1706146194.763331,1309373.333,20274,3,AZ,1,100,0.971
1706146194.803664,1309413.667,20274,3,AZ,1,100,0.965
1706146194.843997,1309454.000,20274,3,AZ,1,100,0.973
1706146194.883996,1309494.000,20290,2,AZ,1,100,0.967
1706146194.923996,1309534.000,20290,2,AZ,1,100,0.963
1706146194.963995,1309574.000,20306,3,AZ,1,100,0.976
1706146195.003995,1309614.000,20306,3,AZ,1,100,0.965
1706146195.043994,1309654.000,20306,3,AZ,1,100,0.970
1706146195.083994,1309694.000,20322,2,AZ,1,100,0.969
1706146195.123993,1309734.000,20322,2,AZ,1,100,0.965
1706146195.163993,1309774.000,20339,3,AZ,1,100,0.973
1706146195.203992,1309814.000,20339,3,AZ,1,100,0.966
1706146195.243992,1309854.000,20339,3,AZ,1,100,0.970
1706146195.283992,1309894.000,20356,2,AZ,1,100,0.969
1706146195.323991,1309934.000,20356,2,AZ,1,100,0.968
1706146195.363991,1309974.000,20371,3,AZ,1,100,0.973
1706146195.403990,1310014.000,20371,3,AZ,1,100,0.966
1706146195.443990,1310054.000,20371,3,AZ,1,100,0.966
1706146195.483989,1310094.000,20389,2,AZ,1,100,0.973
1706146195.523989,1310134.000,20389,2,AZ,1,100,0.967
1706146195.563988,1310174.000,20406,3,AZ,1,100,0.969
1706146195.603988,1310214.000,20406,3,AZ,1,100,0.968
1706146195.643987,1310254.000,20406,3,AZ,1,100,0.970
1706146195.683987,1310294.000,20423,2,AZ,1,100,0.970
1706146195.723987,1310334.000,20423,2,AZ,1,100,0.962
1706146195.763986,1310374.000,20438,3,AZ,1,100,0.971
1706146195.803986,1310414.000,20438,3,AZ,1,100,0.964
1706146195.843985,1310454.000,20438,3,AZ,1,100,0.967
1706146195.883985,1310494.000,20454,3,AZ,1,100,0.971
1706146195.923984,1310534.000,20454,3,AZ,1,100,0.966
1706146195.963984,1310574.000,20454,3,AZ,1,100,0.970
1706146196.003983,1310614.000,20472,2,AZ,1,100,0.967
1706146196.043983,1310654.000,20472,2,AZ,1,100,0.969
1706146196.083982,1310694.000,20488,3,AZ,1,100,0.971
1706146196.123982,1310734.000,20488,3,AZ,1,100,0.966
1706146196.163982,1310774.000,20488,3,AZ,1,100,0.975
1706146196.199315,1310809.333,20505,3,AZ,1,100,0.969
1706146196.234648,1310844.667,20505,3,AZ,1,100,0.967
1706146196.269980,1310880.000,20505,3,AZ,1,100,0.966
1706146196.309980,1310920.000,20522,2,AZ,1,100,0.968
1706146196.349979,1310960.000,20522,2,AZ,1,100,0.965
1706146196.389979,1311000.000,20539,3,AZ,1,100,0.968
1706146196.429979,1311040.000,20539,3,AZ,1,100,0.970
